id,entity_class,variant,input_text,expected_output,difficulty,domain,source
EMAIL-002,EMAIL_ADDRESS,basic,email me at sarah dot lee at gmail dot com,email me at sarah.lee@gmail.com,basic,generic,synthetic
EMAIL-003,EMAIL_ADDRESS,basic,it's mike at example dot org,it's mike@example.org,basic,generic,synthetic
EMAIL-005,EMAIL_ADDRESS,basic,reach out to dave at startup dot co,reach out to dave@startup.co,basic,generic,synthetic
EMAIL-006,EMAIL_ADDRESS,basic,reply to support at helpdesk dot com,reply to support@helpdesk.com,basic,contact_center,synthetic
EMAIL-008,EMAIL_ADDRESS,basic,write to admin at school dot edu,write to admin@school.edu,basic,generic,synthetic
EMAIL-009,EMAIL_ADDRESS,basic,send to billing at acmecorp dot com,send to billing@acmecorp.com,basic,contact_center,synthetic
EMAIL-010,EMAIL_ADDRESS,basic,hello at mybiz dot net,hello@mybiz.net,basic,generic,synthetic
EMAIL-E001,EMAIL_ADDRESS,plus_addressing,email me at jane plus newsletter at gmail dot com,email me at jane+newsletter@gmail.com,edge,generic,synthetic
EMAIL-E004,EMAIL_ADDRESS,uk_tld,ping me at tom at acme dot co dot uk,ping me at tom@acme.co.uk,edge,generic,synthetic
MIXED-001,MIXED,multi_entity,call me at five five five eight six seven five three oh nine on january fifth about the twelve hundred dollar invoice,"call me at 555-867-5309 on January 5 about the $1,200 invoice",edge,voice_agent,synthetic
MIXED-002,MIXED,multi_entity,the meeting on march tenth at three thirty discussed a forty percent uplift,the meeting on March 10 at 3:30 PM discussed a 40% uplift,edge,meeting,synthetic
MIXED-003,MIXED,multi_entity,send the check for one thousand dollars to john at acme dot com by friday,"send the check for $1,000 to john@acme.com by Friday",edge,contact_center,synthetic
MIXED-005,MIXED,multi_entity,at noon on june tenth the rate dropped two point five percent,at 12:00 PM on June 10 the rate dropped 2.5%,edge,meeting,synthetic
MIXED-007,MIXED,multi_entity,invoice number i n v two oh two six oh oh four seven for forty seven dollars due march first,invoice number INV-2026-0047 for $47 due March 1,edge,finance,synthetic
MIXED-008,MIXED,multi_entity,call eight hundred five five five three two one zero between nine a m and five p m,call 800-555-3210 between 9:00 AM and 5:00 PM,edge,contact_center,synthetic
MIXED-009,MIXED,multi_entity,we shipped one thousand two hundred units to twelve thirty four maple drive on july fourth,"we shipped 1,200 units to 1234 Maple Drive on July 4",edge,contact_center,synthetic
MIXED-010,MIXED,multi_entity,his ssn is one two three four five six seven eight nine and dob is january fifteenth nineteen ninety,"his ssn is 123-45-6789 and dob is January 15, 1990",edge,medical,synthetic
MIXED-018,MIXED,multi_entity,about thirty five percent of customers paid two hundred dollars or more last quarter,about 35% of customers paid $200 or more last quarter,edge,finance,synthetic
MIXED-020,MIXED,multi_entity,send the report to admin at school dot edu by may sixteenth at five p m,send the report to admin@school.edu by May 16 at 5:00 PM,edge,meeting,synthetic
CANONICAL-CRESTA-CURRENCY,MONEY,spoken_split,the total amount is one seventy one forty one,the total amount is $171.41,canonical,contact_center,customer_canonical
MONEY-001,MONEY,basic,the coffee was four fifty,the coffee was $4.50,basic,contact_center,synthetic
MONEY-004,MONEY,basic,the bill came to forty seven dollars,the bill came to $47,basic,contact_center,synthetic
MONEY-010,MONEY,basic,the deposit is one thousand dollars,"the deposit is $1,000",basic,finance,synthetic
MONEY-011,MONEY,basic,rent is twelve hundred a month,"rent is $1,200 a month",basic,contact_center,synthetic
MONEY-E001,MONEY,with_M_suffix,the contract is worth two point five million dollars,the contract is worth $2.5M,edge,finance,synthetic
MONEY-E004,MONEY,negative,a loss of negative twelve thousand dollars,"a loss of -$12,000",edge,finance,synthetic
MONEY-E007,MONEY,and_X_cents,twelve dollars and fifty cents,$12.50,edge,generic,synthetic
MONEY-T002,MONEY,plausible_trap,the charge will be three forty two ninety nine,the charge will be $342.99,adversarial,finance,synthetic
MONEY-T005,MONEY,plausible_trap,balance is nine ninety nine ninety nine,balance is $999.99,adversarial,finance,synthetic
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,contiguous_digits,your account number is one hundred two oh three oh oh four,your account number is 100203004,canonical,contact_center,customer_canonical
ID-A-003,NUMERIC_ID,routing_number,routing number is one two one zero zero zero two four eight,routing number is 121000248,basic,finance,synthetic
ID-A-005,NUMERIC_ID,invoice_number,the invoice number is i n v dash two zero two six dash zero zero four seven,the invoice number is INV-2026-0047,basic,finance,synthetic
ID-A-007,NUMERIC_ID,case_number,the case number is seven seven seven eight eight eight nine nine,the case number is 77788899,basic,contact_center,synthetic
ID-A-010,NUMERIC_ID,member_number,your member number is one two three dash four five six dash seven eight nine,your member number is 123-456-789,basic,contact_center,synthetic
ID-C-002,NUMERIC_ID,contiguous_digits,reference one thousand two hundred thirty four,reference 1234,edge,contact_center,synthetic
ID-C-005,NUMERIC_ID,contiguous_digits,the code is four oh four oh four oh four,the code is 4040404,edge,voice_agent,synthetic
ID-D-001,NUMERIC_ID,disambiguation,the reference is five five five eight six seven five three oh nine,the reference is 5558675309,edge,contact_center,synthetic
ID-D-003,NUMERIC_ID,disambiguation,your code is delta echo seven seven two,your code is DE772,edge,voice_agent,synthetic
ID-L-001,NUMERIC_ID,license,license number d one two three four five six seven,license number D1234567,edge,voice_agent,synthetic
CANONICAL-CRESTA-PERCENT,PERCENT,hundred_percent,satisfaction was one hundred percent,satisfaction was 100%,canonical,contact_center,customer_canonical
PCT-001,PERCENT,basic,growth was twenty percent,growth was 20%,basic,meeting,synthetic
PCT-003,PERCENT,basic,we saw thirty percent uplift,we saw 30% uplift,basic,finance,synthetic
PCT-005,PERCENT,basic,about fifty percent of users,about 50% of users,basic,meeting,synthetic
PCT-008,PERCENT,basic,ninety percent confident,90% confident,basic,meeting,synthetic
PCT-D-001,PERCENT,decimal,rate of two point five percent,rate of 2.5%,edge,finance,synthetic
PCT-D-003,PERCENT,decimal,ninety nine point nine percent uptime,99.9% uptime,edge,meeting,synthetic
PCT-D-005,PERCENT,decimal,six point seven five percent apr,6.75% APR,edge,finance,synthetic
PCT-E001,PERCENT,over_100,growth of one hundred fifty percent,growth of 150%,edge,finance,synthetic
PCT-E004,PERCENT,basis_points_phrase,up fifty basis points,up 50 bps,edge,finance,synthetic
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,no_digit_drop,you can reach us at eight hundred seven two nine seven two three four,you can reach us at 800-729-7234,canonical,contact_center,customer_canonical
PHONE-001,PHONE_NUMBER,us_default,call me at five five five eight six seven five three oh nine,call me at 555-867-5309,basic,voice_agent,synthetic
PHONE-002,PHONE_NUMBER,us_default,the number is two one two five five five oh one oh one,the number is 212-555-0101,basic,contact_center,synthetic
PHONE-004,PHONE_NUMBER,us_default,reach support at eight hundred five five five three two one zero,reach support at 800-555-3210,basic,contact_center,synthetic
PHONE-005,PHONE_NUMBER,us_default,his cell is six one seven five five five four nine eight seven,his cell is 617-555-4987,basic,generic,synthetic
PHONE-E164-002,PHONE_NUMBER,e164,the number is six four six five five five eight nine zero one,the number is +16465558901,basic,contact_center,synthetic
PHONE-P-001,PHONE_NUMBER,parens_dashed,call five oh three five five five eight eight eight zero for details,call (503) 555-8880 for details,basic,contact_center,synthetic
PHONE-X001,PHONE_NUMBER,with_extension,call two one two five five five one two three four extension four oh seven,call 212-555-1234 ext. 407,edge,contact_center,synthetic
PHONE-X002,PHONE_NUMBER,international,in london it's plus four four two oh seven nine four six oh nine five eight,in London it's +44 20 7946 0958,edge,generic,synthetic
PHONE-X006,PHONE_NUMBER,with_extension,the direct line is six one seven five five five oh nine nine nine ext two two two,the direct line is 617-555-0999 ext. 222,edge,contact_center,synthetic
SSN-001,SSN,basic,his ssn is one two three four five six seven eight nine,his ssn is 123-45-6789,basic,medical,synthetic
SSN-002,SSN,basic,social is four five six seven eight one two three four,social is 456-78-1234,basic,contact_center,synthetic
SSN-003,SSN,basic,ssn five five five oh one two three four five,ssn 555-01-2345,basic,contact_center,synthetic
SSN-004,SSN,basic,the social security number is two two two three three four four four four,the social security number is 222-33-4444,basic,medical,synthetic
SSN-005,SSN,basic,her ssn nine eight seven six five four three two one,her ssn 987-65-4321,basic,contact_center,synthetic
SSN-006,SSN,basic,ssn one one one two two three three three three,ssn 111-22-3333,basic,contact_center,synthetic
SSN-E001,SSN,partial_only,last four are six seven eight nine,last four are 6789,edge,contact_center,synthetic
SSN-E002,SSN,no_dashes,ssn one two three four five six seven eight nine,ssn 123456789,edge,medical,synthetic
SSN-R-001,SSN,redaction,his ssn is one two three four five six seven eight nine,his ssn is XXX-XX-6789,edge,medical,synthetic
SSN-R-004,SSN,redaction,the social is two two two three three four four four four,the social is XXX-XX-4444,edge,medical,synthetic
TIME-001,TIME,twelve_hour_default,call at three thirty,call at 3:30 PM,basic,voice_agent,synthetic
TIME-003,TIME,twelve_hour_default,meeting at ten am,meeting at 10:00 AM,basic,meeting,synthetic
TIME-004,TIME,twelve_hour_default,see you at noon,see you at 12:00 PM,basic,generic,synthetic
TIME-006,TIME,twelve_hour_default,clinic opens at seven thirty,clinic opens at 7:30 AM,basic,medical,synthetic
TIME-007,TIME,twelve_hour_default,the train leaves at five forty five,the train leaves at 5:45 PM,basic,voice_agent,synthetic
TIME-24-001,TIME,twenty_four_hour,the briefing is at fourteen hundred,the briefing is at 14:00,basic,meeting,synthetic
TIME-24-003,TIME,twenty_four_hour,flight at sixteen forty five,flight at 16:45,basic,voice_agent,synthetic
TIME-24-006,TIME,twenty_four_hour,the cron runs at twenty three fifty nine,the cron runs at 23:59,basic,generic,synthetic
TIME-Q-001,TIME,quarter_half,meet at quarter past three,meet at 3:15 PM,edge,voice_agent,synthetic
TIME-Q-002,TIME,quarter_half,around half past seven,around 7:30 PM,edge,generic,synthetic
URL-001,URL,basic,go to acme dot com,go to acme.com,basic,voice_agent,synthetic
URL-002,URL,basic,visit www dot example dot org,visit www.example.org,basic,generic,synthetic
URL-003,URL,basic,check google dot com,check google.com,basic,generic,synthetic
URL-005,URL,basic,our site is mybiz dot io,our site is mybiz.io,basic,contact_center,synthetic
URL-007,URL,basic,visit news dot ycombinator dot com,visit news.ycombinator.com,basic,meeting,synthetic
URL-008,URL,basic,the docs are at docs dot stripe dot com,the docs are at docs.stripe.com,basic,generic,synthetic
URL-009,URL,basic,see help dot company dot net,see help.company.net,basic,contact_center,synthetic
URL-010,URL,basic,login at portal dot bank dot com,login at portal.bank.com,basic,contact_center,synthetic
URL-S-001,URL,spoken_form,go to acme dot com slash signup,go to acme.com/signup,edge,voice_agent,synthetic
URL-S-003,URL,spoken_form,the link is shop dot biz slash deals slash twenty twenty six,the link is shop.biz/deals/2026,edge,generic,synthetic
