run_id,model_id,provider,sample_id,base_prompt_hash,formatting_prompt,input_text,expected_output,actual_output,latency_total_ms,latency_ttft_ms,tokens_in,tokens_out,cost_usd,finish_reason,error,attempted_at,completed_at,chain_input_text,baseline_model_id,baseline_error
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-004,7d8c326253d4,,the bill came to forty seven dollars,the bill came to $47,the bill came to $47,235.41,185.43,2133,7,0.00010735,stop,,2026-05-06T08:27:28.231587+00:00,2026-05-06T08:27:28.467021+00:00,the bill came to $47,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-006,7d8c326253d4,,we owe two hundred dollars,we owe $200,we owe $200,208.62,147.24,2131,5,0.00010705,stop,,2026-05-06T08:27:28.292451+00:00,2026-05-06T08:27:28.501098+00:00,we owe $200,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-AVOMA-YEAR,7d8c326253d4,,we expect to launch in twenty twenty six,we expect to launch in 2026,we expect to launch in 2026,805.26,350.41,2135,9,0.00010765,stop,,2026-05-06T08:27:27.744980+00:00,2026-05-06T08:27:28.550270+00:00,we expect to launch in 2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-007,7d8c326253d4,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,the fee is $15,180.25,144.10,2145,6,0.00010785,stop,,2026-05-06T08:27:28.382641+00:00,2026-05-06T08:27:28.562926+00:00,the fee is $15,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,CANONICAL-TALKATOO-CENTURY,7d8c326253d4,Format dates as MM/DD/YYYY. Current year is 2026.,exam date two six twenty six,exam date 02/06/2026,exam date 02/06/2026,510.32,429.66,2158,10,0.0001089,stop,,2026-05-06T08:27:28.168028+00:00,2026-05-06T08:27:28.678397+00:00,exam date 02/06/2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-010,7d8c326253d4,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000","the deposit is $1,000",265.76,208.86,2146,8,0.0001081,stop,,2026-05-06T08:27:28.467231+00:00,2026-05-06T08:27:28.733026+00:00,"the deposit is $1,000",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-011,7d8c326253d4,Use thousands separators in currency.,rent is twelve hundred a month,"rent is $1,200 a month","rent is $1,200 a month",257.72,189.96,2147,9,0.00010825,stop,,2026-05-06T08:27:28.501350+00:00,2026-05-06T08:27:28.759101+00:00,"rent is 1,200 a month",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-013,7d8c326253d4,,um the total is one twenty nine ninety nine,um the total is $129.99,um the total is $1.2999,196.24,119.65,2137,10,0.00010785,stop,,2026-05-06T08:27:28.563560+00:00,2026-05-06T08:27:28.759836+00:00,um the total is $1.29 99,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-008,7d8c326253d4,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,charge them $62,366.92,336.51,2144,5,0.0001077,stop,,2026-05-06T08:27:28.394567+00:00,2026-05-06T08:27:28.761510+00:00,charge them $62,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-009,7d8c326253d4,,seven hundred fifty dollars please,$750 please,$750 please,313.33,287.51,2130,4,0.0001069,stop,,2026-05-06T08:27:28.462591+00:00,2026-05-06T08:27:28.775948+00:00,$750 please,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-012,7d8c326253d4,,they quoted eighty nine dollars,they quoted $89,they quoted $89,276.18,242.25,2131,5,0.00010705,stop,,2026-05-06T08:27:28.550546+00:00,2026-05-06T08:27:28.826758+00:00,they quoted $89,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-003,7d8c326253d4,Format currency with the dollar sign.,it costs nine ninety nine,it costs $9.99,it costs $9.99,741.21,689.83,2146,7,0.000108,stop,,2026-05-06T08:27:28.221308+00:00,2026-05-06T08:27:28.962582+00:00,it costs $9.99,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E002,7d8c326253d4,,we raised one point two billion,we raised $1.2B,we raised $1.2B,237.35,175.96,2137,8,0.00010765,stop,,2026-05-06T08:27:28.760032+00:00,2026-05-06T08:27:28.997420+00:00,"we raised 1,200,000,000",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E005,7d8c326253d4,,the refund was minus forty seven dollars and fifty cents,the refund was -$47.50,the refund was minus $47.50,188.95,122.67,2135,9,0.00010765,stop,,2026-05-06T08:27:28.826990+00:00,2026-05-06T08:27:29.015971+00:00,the refund was minus $47.50,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E001,7d8c326253d4,,the contract is worth two point five million dollars,the contract is worth $2.5M,"the contract is worth $2,500,000",272.92,183.71,2137,11,0.00010795,stop,,2026-05-06T08:27:28.759431+00:00,2026-05-06T08:27:29.032389+00:00,"the contract is worth $2,500,000",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E003,7d8c326253d4,,budget of about five hundred K,budget of about $500K,budget of about $500K,331.85,283.72,2133,7,0.00010735,stop,,2026-05-06T08:27:28.761626+00:00,2026-05-06T08:27:29.093528+00:00,budget of about 500 K,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E006,7d8c326253d4,,zero dollars charged,$0 charged,$0 charged,167.19,144.85,2130,4,0.0001069,stop,,2026-05-06T08:27:28.963153+00:00,2026-05-06T08:27:29.130387+00:00,$0 charged,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E007,7d8c326253d4,,twelve dollars and fifty cents,$12.50,$12.50,195.30,155.88,2131,5,0.00010705,stop,,2026-05-06T08:27:28.998298+00:00,2026-05-06T08:27:29.193638+00:00,$12.50,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E009,7d8c326253d4,,one point seven five dollars,$1.75,$1.75,174.67,132.59,2131,5,0.00010705,stop,,2026-05-06T08:27:29.032749+00:00,2026-05-06T08:27:29.207451+00:00,$1.75,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E010,7d8c326253d4,,eight cents,$0.08,0.08¢,152.55,120.17,2129,5,0.00010695,stop,,2026-05-06T08:27:29.093959+00:00,2026-05-06T08:27:29.246565+00:00,8¢,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-014,7d8c326253d4,,five dollars and twenty cents,$5.20,$5.20,678.28,160.73,2131,5,0.00010705,stop,,2026-05-06T08:27:28.678891+00:00,2026-05-06T08:27:29.357262+00:00,$5.20,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-T001,7d8c326253d4,,the total is one seventy one forty one,the total is $171.41,the total is $1.71 41,171.15,101.59,2136,10,0.0001078,stop,,2026-05-06T08:27:29.207805+00:00,2026-05-06T08:27:29.379046+00:00,the total is $1.71 41,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E012,7d8c326253d4,,two and a half million dollars,$2.5M,$2.5M,194.28,137.36,2133,6,0.00010725,stop,,2026-05-06T08:27:29.193911+00:00,2026-05-06T08:27:29.388228+00:00,2 and a half million dollars,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E011,7d8c326253d4,,ninety nine cents,$0.99,0.99¢,285.04,250.13,2129,5,0.00010695,stop,,2026-05-06T08:27:29.130823+00:00,2026-05-06T08:27:29.415900+00:00,99¢,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E004,7d8c326253d4,,a loss of negative twelve thousand dollars,"a loss of -$12,000","a loss of negative $12,000",716.14,649.82,2135,9,0.00010765,stop,,2026-05-06T08:27:28.776228+00:00,2026-05-06T08:27:29.492394+00:00,"a loss of negative $12,000",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-T002,7d8c326253d4,,the charge will be three forty two ninety nine,the charge will be $342.99,the charge will be $3.42,301.95,237.24,2137,9,0.00010775,stop,,2026-05-06T08:27:29.247113+00:00,2026-05-06T08:27:29.549109+00:00,the charge will be $3.42 99,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-015,7d8c326253d4,,just three dollars,just $3,just $3,822.19,127.61,2130,4,0.0001069,stop,,2026-05-06T08:27:28.733330+00:00,2026-05-06T08:27:29.555548+00:00,just $3,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-T003,7d8c326253d4,,amount due five sixty seven eighty nine,amount due $567.89,amount due $5.67 89,205.35,140.57,2135,9,0.00010765,stop,,2026-05-06T08:27:29.357902+00:00,2026-05-06T08:27:29.563310+00:00,amount due $5.67 89,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-T004,7d8c326253d4,,they invoiced two ten fifteen,they invoiced $210.15,they invoiced $2.10 on 10/15,239.28,139.30,2136,13,0.0001081,stop,,2026-05-06T08:27:29.379905+00:00,2026-05-06T08:27:29.619237+00:00,they invoiced 2 10/15,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-P001,7d8c326253d4,Format currency in USD with 2 decimal places.,the total is forty two,the total is $42.00,the total is $42.00,226.11,169.04,2148,8,0.0001082,stop,,2026-05-06T08:27:29.416303+00:00,2026-05-06T08:27:29.642444+00:00,the total is 42,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-P002,7d8c326253d4,"Use plain digits, no currency symbol.",the price tag said nineteen ninety nine,the price tag said 19.99,the price tag said 19.99,238.08,171.08,2149,9,0.00010835,stop,,2026-05-06T08:27:29.492641+00:00,2026-05-06T08:27:29.730799+00:00,the price tag said $19.99,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-P003,7d8c326253d4,Spell large amounts in millions as $X.XM.,we pulled in twenty seven million dollars last quarter,we pulled in $27M last quarter,we pulled in $27M last quarter,217.82,136.36,2155,9,0.00010865,stop,,2026-05-06T08:27:29.549593+00:00,2026-05-06T08:27:29.767445+00:00,"we pulled in $27,000,000 last quarter",impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-001,7d8c326253d4,Render dates as 'Month Day' (e.g. January 5).,the meeting is on january fifth,the meeting is on January 5,the meeting is on January 5,245.79,191.21,2156,8,0.0001086,stop,,2026-05-06T08:27:29.555912+00:00,2026-05-06T08:27:29.801732+00:00,the meeting is on January 5,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-003,7d8c326253d4,Render dates as 'Month Day'.,we shipped on july fourth,we shipped on July 4,we shipped on July 4,182.73,137.86,2146,7,0.000108,stop,,2026-05-06T08:27:29.619484+00:00,2026-05-06T08:27:29.802236+00:00,we shipped on July 4,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-T005,7d8c326253d4,,balance is nine ninety nine ninety nine,balance is $999.99,"balance is $99,999",416.42,359.26,2132,7,0.0001073,stop,,2026-05-06T08:27:29.388700+00:00,2026-05-06T08:27:29.805160+00:00,balance is 99999,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-004,7d8c326253d4,,the report is due december first,the report is due December 1,the report is due December 1,208.39,149.68,2134,8,0.0001075,stop,,2026-05-06T08:27:29.642696+00:00,2026-05-06T08:27:29.851121+00:00,the report is due December 1,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,MONEY-E008,7d8c326253d4,,two hundred dollars and ninety nine cents,$200.99,$200.99,865.94,807.49,2131,5,0.00010705,stop,,2026-05-06T08:27:29.016378+00:00,2026-05-06T08:27:29.882354+00:00,$200.99,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-006,7d8c326253d4,,on august thirty first he resigned,on August 31 he resigned,on August 31 he resigned,204.54,181.44,2133,7,0.00010735,stop,,2026-05-06T08:27:29.767701+00:00,2026-05-06T08:27:29.972295+00:00,on August 31 he resigned,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-005,7d8c326253d4,Render dates as 'Month Day'.,she arrived on february fourteenth,she arrived on February 14,she arrived on February 14,261.54,207.36,2146,7,0.000108,stop,,2026-05-06T08:27:29.731233+00:00,2026-05-06T08:27:29.992847+00:00,she arrived on February fourteenth,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-009,7d8c326253d4,Render dates as 'Month Day'.,we'll meet april second,we'll meet April 2,we'll meet April 2,196.36,147.60,2146,7,0.000108,stop,,2026-05-06T08:27:29.805373+00:00,2026-05-06T08:27:30.001777+00:00,we'll meet April 2,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-008,7d8c326253d4,,audit was october twenty second,audit was October 22,audit was October 22,200.53,157.20,2132,6,0.0001072,stop,,2026-05-06T08:27:29.802414+00:00,2026-05-06T08:27:30.002960+00:00,audit was October 22,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-007,7d8c326253d4,Render dates as 'Month Day'.,born november ninth,born November 9,born November 9,201.12,166.15,2144,5,0.0001077,stop,,2026-05-06T08:27:29.801991+00:00,2026-05-06T08:27:30.003132+00:00,born November 9,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-010,7d8c326253d4,,appointment may sixteenth,appointment May 16,May 16,170.04,139.67,2131,4,0.00010695,stop,,2026-05-06T08:27:29.851426+00:00,2026-05-06T08:27:30.021504+00:00,appointment May 16,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-011,7d8c326253d4,,renewal is september eighth,renewal is September 8,renewal is September 8,217.74,148.63,2134,8,0.0001075,stop,,2026-05-06T08:27:29.882700+00:00,2026-05-06T08:27:30.100470+00:00,renewal is September 8,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-002,7d8c326253d4,Render dates as 'Month Day'.,see you on march twenty third,see you on March 23,see you on March 23,612.33,600.56,2146,7,0.000108,stop,,2026-05-06T08:27:29.563719+00:00,2026-05-06T08:27:30.176114+00:00,see you on March 23,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-001,7d8c326253d4,Format dates as ISO 8601.,the launch is march fifth twenty twenty six,the launch is 2026-03-05,2026-03-05,226.05,175.61,2151,7,0.00010825,stop,,2026-05-06T08:27:29.993517+00:00,2026-05-06T08:27:30.219606+00:00,the launch is 03/05/2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-004,7d8c326253d4,Format dates as ISO 8601.,contract starts january first twenty twenty seven,contract starts 2027-01-01,contract starts 2027-01-01,233.64,165.11,2150,10,0.0001085,stop,,2026-05-06T08:27:30.003420+00:00,2026-05-06T08:27:30.237087+00:00,contract starts 01/01/2027,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-002,7d8c326253d4,Format dates as ISO 8601.,she signed on april twelfth twenty twenty four,she signed on 2024-04-12,she signed on 2024-04-12,239.31,162.39,2151,11,0.00010865,stop,,2026-05-06T08:27:30.002264+00:00,2026-05-06T08:27:30.241614+00:00,she signed on 04/12/2024,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-005,7d8c326253d4,Format dates as ISO 8601.,we met on november twenty ninth twenty twenty three,we met on 2023-11-29,we met on 2023-11-29,226.18,146.46,2151,11,0.00010865,stop,,2026-05-06T08:27:30.022157+00:00,2026-05-06T08:27:30.248379+00:00,we met on 11/29/2023,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-012,7d8c326253d4,,payment posted june thirtieth,payment posted June 30,payment posted June 30,303.46,249.53,2132,6,0.0001072,stop,,2026-05-06T08:27:29.972969+00:00,2026-05-06T08:27:30.276480+00:00,payment posted June 30,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-006,7d8c326253d4,Format dates as ISO 8601.,end of fiscal is december thirty first twenty twenty six,end of fiscal is 2026-12-31,2026-12-31,228.49,177.95,2152,7,0.0001083,stop,,2026-05-06T08:27:30.100741+00:00,2026-05-06T08:27:30.329283+00:00,end of fiscal is 12/31/2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-003,7d8c326253d4,Format dates as ISO 8601.,delivery date june ninth twenty twenty five,delivery date 2025-06-09,delivery date 2025-06-09,326.66,215.93,2150,10,0.0001085,stop,,2026-05-06T08:27:30.003246+00:00,2026-05-06T08:27:30.329920+00:00,delivery date 06/09/2025,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-007,7d8c326253d4,Format dates as ISO 8601.,flight is on october fourteenth twenty twenty six,flight is on 2026-10-14,2026-10-14,212.49,164.07,2151,7,0.00010825,stop,,2026-05-06T08:27:30.176733+00:00,2026-05-06T08:27:30.389268+00:00,flight is on 10/14/2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-ISO-008,7d8c326253d4,Format dates as ISO 8601.,expires july third twenty twenty eight,expires 2028-07-03,expires 2028-07-03,185.05,120.69,2149,9,0.00010835,stop,,2026-05-06T08:27:30.219893+00:00,2026-05-06T08:27:30.404977+00:00,expires 07/03/2028,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-US-004,7d8c326253d4,Format dates as MM/DD/YYYY.,the date is november first twenty twenty six,the date is 11/01/2026,11/01/2026,211.96,158.76,2151,7,0.00010825,stop,,2026-05-06T08:27:30.276798+00:00,2026-05-06T08:27:30.488829+00:00,the date is November first twenty twenty '6,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-US-003,7d8c326253d4,Format dates as MM/DD/YYYY.,the date is june ninth twenty twenty five,the date is 06/09/2025,the date is 06/09/2025,256.35,179.95,2151,11,0.00010865,stop,,2026-05-06T08:27:30.248924+00:00,2026-05-06T08:27:30.505319+00:00,the date is June ninth twenty twenty '5,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-US-002,7d8c326253d4,Format dates as MM/DD/YYYY.,the date is april twelfth twenty twenty four,the date is 04/12/2024,the date is 04/12/2024,297.95,215.45,2152,11,0.0001087,stop,,2026-05-06T08:27:30.241856+00:00,2026-05-06T08:27:30.539835+00:00,the date is 04/12/2024,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-US-001,7d8c326253d4,Format dates as MM/DD/YYYY.,the date is march fifth twenty twenty six,the date is 03/05/2026,the date is 03/05/2026,308.54,161.26,2152,11,0.0001087,stop,,2026-05-06T08:27:30.237385+00:00,2026-05-06T08:27:30.545947+00:00,the date is 03/05/2026,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-US-005,7d8c326253d4,Format dates as MM/DD/YYYY.,the date is january thirty first twenty twenty seven,the date is 01/31/2027,the date is 01/31/2027,267.03,195.97,2152,11,0.0001087,stop,,2026-05-06T08:27:30.329640+00:00,2026-05-06T08:27:30.596713+00:00,the date is 01/31/2027,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-EU-003,7d8c326253d4,Format dates as DD/MM/YYYY.,meeting on the ninth of october twenty twenty five,meeting on the 09/10/2025,meeting on the 10/09/2025,203.33,120.66,2152,11,0.0001087,stop,,2026-05-06T08:27:30.405231+00:00,2026-05-06T08:27:30.608619+00:00,meeting on the 10/09/2025,impeller-stem-baseline,
chained-full-impeller-stem-granite-4-1-8b-iter09,granite-4-1-8b,impeller-stem+ibm-granite,DATE-EU-001,7d8c326253d4,Format dates as DD/MM/YYYY.,meeting on the third of february twenty twenty six,meeting on the 03/02/2026,meeting on the 02/03/2026,320.10,185.90,2152,11,0.0001087,stop,,2026-05-06T08:27:30.330259+00:00,2026-05-06T08:27:30.650423+00:00,meeting on the 02/03/2026,impeller-stem-baseline,
