id,entity_class,variant,prompt,input_text,expected_output,difficulty,domain,source,notes
MONEY-006,MONEY,basic,,we owe two hundred dollars,we owe $200,basic,contact_center,synthetic,
MONEY-007,MONEY,basic,Format currency with the dollar sign.,the fee is fifteen dollars,the fee is $15,basic,generic,synthetic,
MONEY-008,MONEY,basic,Format currency with the dollar sign.,charge them sixty two dollars,charge them $62,basic,voice_agent,synthetic,
MONEY-009,MONEY,basic,,seven hundred fifty dollars please,$750 please,basic,contact_center,synthetic,
MONEY-010,MONEY,basic,Use thousands separators in currency.,the deposit is one thousand dollars,"the deposit is $1,000",basic,finance,synthetic,
MONEY-011,MONEY,basic,Use thousands separators in currency.,rent is twelve hundred a month,"rent is $1,200 a month",basic,contact_center,synthetic,
MONEY-012,MONEY,basic,,they quoted eighty nine dollars,they quoted $89,basic,generic,synthetic,
MONEY-013,MONEY,basic,,um the total is one twenty nine ninety nine,um the total is $129.99,basic,voice_agent,synthetic,
MONEY-014,MONEY,basic,,five dollars and twenty cents,$5.20,basic,contact_center,synthetic,
MONEY-015,MONEY,basic,,just three dollars,just $3,basic,finance,synthetic,
MONEY-E001,MONEY,with_M_suffix,,the contract is worth two point five million dollars,the contract is worth $2.5M,edge,finance,synthetic,"M suffix — could also be $2,500,000 depending on style"
MONEY-E002,MONEY,with_B_suffix,,we raised one point two billion,we raised $1.2B,edge,finance,synthetic,B suffix
MONEY-E003,MONEY,with_K_suffix,,budget of about five hundred K,budget of about $500K,edge,finance,synthetic,
MONEY-E004,MONEY,negative,,a loss of negative twelve thousand dollars,"a loss of -$12,000",edge,finance,synthetic,negative dollar amount
MONEY-E005,MONEY,negative_decimal,,the refund was minus forty seven dollars and fifty cents,the refund was -$47.50,edge,finance,synthetic,
MONEY-E006,MONEY,zero,,zero dollars charged,$0 charged,edge,finance,synthetic,
MONEY-E007,MONEY,and_X_cents,,twelve dollars and fifty cents,$12.50,edge,generic,synthetic,
MONEY-E008,MONEY,and_X_cents,,two hundred dollars and ninety nine cents,$200.99,edge,generic,synthetic,
MONEY-E009,MONEY,spoken_decimal,,one point seven five dollars,$1.75,edge,generic,synthetic,
MONEY-E010,MONEY,cents_only,,eight cents,$0.08,edge,generic,synthetic,cents-only — leading zero
MONEY-E011,MONEY,cents_only,,ninety nine cents,$0.99,edge,generic,synthetic,
MONEY-E012,MONEY,fraction_phrase,,two and a half million dollars,$2.5M,edge,finance,synthetic,and a half phrasing
MONEY-T001,MONEY,plausible_trap,,the total is one seventy one forty one,the total is $171.41,adversarial,finance,synthetic,"Numeric drift like $1.71+41 or $171,410 or $17.141 is a catastrophic failure."
MONEY-T002,MONEY,plausible_trap,,the charge will be three forty two ninety nine,the charge will be $342.99,adversarial,finance,synthetic,Drift like $3.42+99 is catastrophic.
MONEY-T003,MONEY,plausible_trap,,amount due five sixty seven eighty nine,amount due $567.89,adversarial,finance,synthetic,Drift like $5.67+89 is catastrophic.
MONEY-T004,MONEY,plausible_trap,,they invoiced two ten fifteen,they invoiced $210.15,adversarial,finance,synthetic,Drift like $2.10+15 is catastrophic.
MONEY-T005,MONEY,plausible_trap,,balance is nine ninety nine ninety nine,balance is $999.99,adversarial,finance,synthetic,Drift like $9.99+99 is catastrophic.
MONEY-P001,MONEY,prompted_style,Format currency in USD with 2 decimal places.,the total is forty two,the total is $42.00,edge,finance,synthetic,prompt forces 2dp
MONEY-P002,MONEY,prompted_style,"Use plain digits, no currency symbol.",the price tag said nineteen ninety nine,the price tag said 19.99,edge,generic,synthetic,no symbol per prompt
MONEY-P003,MONEY,prompted_style,Spell large amounts in millions as $X.XM.,we pulled in twenty seven million dollars last quarter,we pulled in $27M last quarter,edge,finance,synthetic,
DATE-001,DATE,basic_month_day,Render dates as 'Month Day' (e.g. January 5).,the meeting is on january fifth,the meeting is on January 5,basic,voice_agent,synthetic,
DATE-002,DATE,basic_month_day,Render dates as 'Month Day'.,see you on march twenty third,see you on March 23,basic,generic,synthetic,
DATE-003,DATE,basic_month_day,Render dates as 'Month Day'.,we shipped on july fourth,we shipped on July 4,basic,meeting,synthetic,
DATE-004,DATE,basic_month_day,,the report is due december first,the report is due December 1,basic,meeting,synthetic,
DATE-005,DATE,basic_month_day,Render dates as 'Month Day'.,she arrived on february fourteenth,she arrived on February 14,basic,generic,synthetic,
DATE-006,DATE,basic_month_day,,on august thirty first he resigned,on August 31 he resigned,basic,meeting,synthetic,
DATE-007,DATE,basic_month_day,Render dates as 'Month Day'.,born november ninth,born November 9,basic,medical,synthetic,
DATE-008,DATE,basic_month_day,,audit was october twenty second,audit was October 22,basic,finance,synthetic,
DATE-009,DATE,basic_month_day,Render dates as 'Month Day'.,we'll meet april second,we'll meet April 2,basic,voice_agent,synthetic,
DATE-010,DATE,basic_month_day,,appointment may sixteenth,appointment May 16,basic,medical,synthetic,
DATE-011,DATE,basic_month_day,,renewal is september eighth,renewal is September 8,basic,contact_center,synthetic,
DATE-012,DATE,basic_month_day,,payment posted june thirtieth,payment posted June 30,basic,finance,synthetic,
DATE-ISO-001,DATE,iso8601,Format dates as ISO 8601.,the launch is march fifth twenty twenty six,the launch is 2026-03-05,basic,meeting,synthetic,
DATE-ISO-002,DATE,iso8601,Format dates as ISO 8601.,she signed on april twelfth twenty twenty four,she signed on 2024-04-12,basic,finance,synthetic,
DATE-ISO-003,DATE,iso8601,Format dates as ISO 8601.,delivery date june ninth twenty twenty five,delivery date 2025-06-09,basic,contact_center,synthetic,
DATE-ISO-004,DATE,iso8601,Format dates as ISO 8601.,contract starts january first twenty twenty seven,contract starts 2027-01-01,basic,finance,synthetic,
DATE-ISO-005,DATE,iso8601,Format dates as ISO 8601.,we met on november twenty ninth twenty twenty three,we met on 2023-11-29,basic,meeting,synthetic,
DATE-ISO-006,DATE,iso8601,Format dates as ISO 8601.,end of fiscal is december thirty first twenty twenty six,end of fiscal is 2026-12-31,basic,finance,synthetic,
DATE-ISO-007,DATE,iso8601,Format dates as ISO 8601.,flight is on october fourteenth twenty twenty six,flight is on 2026-10-14,basic,voice_agent,synthetic,
DATE-ISO-008,DATE,iso8601,Format dates as ISO 8601.,expires july third twenty twenty eight,expires 2028-07-03,basic,contact_center,synthetic,
DATE-US-001,DATE,us_format,Format dates as MM/DD/YYYY.,the date is march fifth twenty twenty six,the date is 03/05/2026,basic,contact_center,synthetic,
DATE-US-002,DATE,us_format,Format dates as MM/DD/YYYY.,the date is april twelfth twenty twenty four,the date is 04/12/2024,basic,contact_center,synthetic,
DATE-US-003,DATE,us_format,Format dates as MM/DD/YYYY.,the date is june ninth twenty twenty five,the date is 06/09/2025,basic,contact_center,synthetic,
DATE-US-004,DATE,us_format,Format dates as MM/DD/YYYY.,the date is november first twenty twenty six,the date is 11/01/2026,basic,contact_center,synthetic,
DATE-US-005,DATE,us_format,Format dates as MM/DD/YYYY.,the date is january thirty first twenty twenty seven,the date is 01/31/2027,basic,contact_center,synthetic,
DATE-EU-001,DATE,eu_format,Format dates as DD/MM/YYYY.,meeting on the third of february twenty twenty six,meeting on the 03/02/2026,basic,meeting,synthetic,
DATE-EU-002,DATE,eu_format,Format dates as DD/MM/YYYY.,meeting on the fifteenth of july twenty twenty four,meeting on the 15/07/2024,basic,generic,synthetic,
DATE-EU-003,DATE,eu_format,Format dates as DD/MM/YYYY.,meeting on the ninth of october twenty twenty five,meeting on the 09/10/2025,basic,finance,synthetic,
DATE-EU-004,DATE,eu_format,Format dates as DD/MM/YYYY.,meeting on the first of december twenty twenty six,meeting on the 01/12/2026,basic,voice_agent,synthetic,
DATE-EU-005,DATE,eu_format,Format dates as DD/MM/YYYY.,meeting on the twenty eighth of march twenty twenty seven,meeting on the 28/03/2027,basic,contact_center,synthetic,
DATE-W001,DATE,words_form,"Render dates in long-form English (e.g. January 5, 2026).",deadline is one twenty twenty six,"deadline is January 1, 2026",basic,meeting,synthetic,
DATE-W002,DATE,words_form,"Render dates in long-form English (e.g. January 5, 2026).",born august seventh nineteen ninety,"born August 7, 1990",basic,medical,synthetic,
DATE-W003,DATE,words_form,"Render dates in long-form English (e.g. January 5, 2026).",we filed on march tenth twenty twenty two,"we filed on March 10, 2022",basic,finance,synthetic,
DATE-E001,DATE,century_ambig,,she was born in fifty two,she was born in '52,edge,generic,synthetic,two-digit year — context-only
DATE-E002,DATE,partial,,the audit was sometime in q three,the audit was sometime in Q3,edge,finance,synthetic,quarter only
DATE-E003,DATE,partial_month_year,,we hired her in april twenty twenty four,we hired her in April 2024,edge,meeting,synthetic,month + year only
DATE-E004,DATE,ambiguous_locale,,the form said oh three oh four twenty twenty six,the form said 03/04/2026,edge,generic,synthetic,locale-ambiguous — March 4 or April 3 depending on convention; default keeps spoken order
DATE-E005,DATE,relative,,let's circle back next tuesday,let's circle back next Tuesday,edge,meeting,synthetic,relative date — capitalize day
DATE-MED-001,DATE,talkatoo_medical,Format dates as MM/DD/YYYY. Current year is 2026.,next visit is one fifteen twenty seven,next visit is 01/15/2027,edge,medical,synthetic,
DATE-MED-002,DATE,talkatoo_medical,Format dates as MM/DD/YYYY. Current year is 2026.,follow up four ten twenty six,follow up 04/10/2026,edge,medical,synthetic,
TIME-001,TIME,twelve_hour_default,,call at three thirty,call at 3:30 PM,basic,voice_agent,synthetic,afternoon implied by context
TIME-002,TIME,twelve_hour_default,,the show starts at eight,the show starts at 8:00 PM,basic,generic,synthetic,evening context
TIME-003,TIME,twelve_hour_default,Format times as 12-hour with AM/PM.,meeting at ten am,meeting at 10:00 AM,basic,meeting,synthetic,
TIME-004,TIME,twelve_hour_default,,see you at noon,see you at 12:00 PM,basic,generic,synthetic,
TIME-005,TIME,twelve_hour_default,Format times as 12-hour with AM/PM.,around six pm,around 6:00 PM,basic,generic,synthetic,
TIME-006,TIME,twelve_hour_default,,clinic opens at seven thirty,clinic opens at 7:30 AM,basic,medical,synthetic,
TIME-007,TIME,twelve_hour_default,Format times as 12-hour with AM/PM.,the train leaves at five forty five,the train leaves at 5:45 PM,basic,voice_agent,synthetic,
TIME-008,TIME,twelve_hour_default,,standup is at nine fifteen,standup is at 9:15 AM,basic,meeting,synthetic,
TIME-24-001,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,the briefing is at fourteen hundred,the briefing is at 14:00,basic,meeting,synthetic,
TIME-24-002,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,system reboots at oh two thirty,system reboots at 02:30,basic,generic,synthetic,
TIME-24-003,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,flight at sixteen forty five,flight at 16:45,basic,voice_agent,synthetic,
TIME-24-004,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,the call is at twenty one hundred,the call is at 21:00,basic,meeting,synthetic,
TIME-24-005,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,departure oh five fifteen,departure 05:15,basic,voice_agent,synthetic,
TIME-24-006,TIME,twenty_four_hour,Format times in 24-hour HH:MM.,the cron runs at twenty three fifty nine,the cron runs at 23:59,basic,generic,synthetic,
TIME-Q-001,TIME,quarter_half,,meet at quarter past three,meet at 3:15 PM,edge,voice_agent,synthetic,afternoon implied
TIME-Q-002,TIME,quarter_half,,around half past seven,around 7:30 PM,edge,generic,synthetic,
TIME-Q-003,TIME,quarter_half,,quarter to nine,quarter to nine,edge,generic,synthetic,ambiguous default — keep words
TIME-Q-004,TIME,quarter_half,,a quarter after eleven,11:15 AM,edge,meeting,synthetic,morning implied
TIME-Q-005,TIME,quarter_half,,half past noon,12:30 PM,edge,generic,synthetic,
TIME-E-001,TIME,midnight_default,,midnight sharp,12:00 AM,edge,generic,synthetic,
TIME-E-002,TIME,ambiguous,,twelve o'clock,12:00,edge,meeting,synthetic,ambiguous AM/PM — keep neutral
TIME-E-003,TIME,no_period,,at three,at 3:00,edge,generic,synthetic,no AM/PM context
TIME-E-004,TIME,slang,,at oh dark thirty,at 0:30,edge,generic,synthetic,military slang
TIME-E-005,TIME,fuzzy,,around tennish,around 10ish,edge,meeting,synthetic,fuzzy time — keep informal
TIME-E-006,TIME,disfluent,,uh like maybe four o'clock,uh like maybe 4:00,edge,contact_center,synthetic,
CARD-001,CARDINAL,basic,Render numbers as digits.,there are twenty three people in the room,there are 23 people in the room,basic,generic,synthetic,
CARD-002,CARDINAL,basic,,we received forty seven applications,we received 47 applications,basic,contact_center,synthetic,
CARD-003,CARDINAL,basic,Render numbers as digits.,she has three kids,she has 3 kids,basic,generic,synthetic,
CARD-004,CARDINAL,basic,,about fifteen minutes left,about 15 minutes left,basic,meeting,synthetic,
CARD-005,CARDINAL,basic,Render numbers as digits.,eight reps on the floor,8 reps on the floor,basic,meeting,synthetic,
CARD-006,CARDINAL,basic,,we hit one hundred subscribers,we hit 100 subscribers,basic,meeting,synthetic,
CARD-007,CARDINAL,basic,Render numbers as digits.,approximately seventy two units,approximately 72 units,basic,finance,synthetic,
CARD-008,CARDINAL,basic,,only five seats left,only 5 seats left,basic,voice_agent,synthetic,
CARD-009,CARDINAL,basic,Render numbers as digits.,twenty four hours a day,24 hours a day,basic,generic,synthetic,
CARD-010,CARDINAL,basic,,six items in the cart,6 items in the cart,basic,contact_center,synthetic,
CARD-Y-001,CARDINAL,year_context,,we launched in nineteen ninety nine,we launched in 1999,edge,meeting,synthetic,"year — must not be 1,999"
CARD-Y-002,CARDINAL,year_context,,back in nineteen seventy three,back in 1973,edge,generic,synthetic,year — no comma
CARD-Y-003,CARDINAL,year_context,,by twenty thirty,by 2030,edge,meeting,synthetic,
CARD-Y-004,CARDINAL,year_context,,the class of two thousand ten,the class of 2010,edge,generic,synthetic,
CARD-Y-005,CARDINAL,year_context,,since nineteen eighty four,since 1984,edge,meeting,synthetic,
CARD-Y-006,CARDINAL,year_context,,starting twenty twenty seven,starting 2027,edge,finance,synthetic,
CARD-L-001,CARDINAL,with_grouping,,the population is twelve thousand four hundred,"the population is 12,400",basic,generic,synthetic,thousands separator expected
CARD-L-002,CARDINAL,with_grouping,,we sold one million two hundred thousand units,"we sold 1,200,000 units",basic,finance,synthetic,thousands separator expected
CARD-L-003,CARDINAL,with_grouping,,the file has fifty thousand rows,"the file has 50,000 rows",basic,meeting,synthetic,thousands separator expected
CARD-L-004,CARDINAL,with_grouping,,about two hundred fifty thousand customers,"about 250,000 customers",basic,finance,synthetic,thousands separator expected
CARD-L-005,CARDINAL,with_grouping,,seven hundred thousand dollars in arr,"700,000 in ARR",basic,finance,synthetic,thousands separator expected
CARD-L-006,CARDINAL,with_grouping,,the dataset has nine million records,"the dataset has 9,000,000 records",basic,meeting,synthetic,thousands separator expected
CARD-R-001,CARDINAL,range,,between five and ten people,between 5 and 10 people,basic,meeting,synthetic,
CARD-R-002,CARDINAL,range,,expect twenty to thirty seats,expect 20 to 30 seats,basic,voice_agent,synthetic,
CARD-R-003,CARDINAL,range,,from one hundred to two hundred users,from 100 to 200 users,basic,meeting,synthetic,
CARD-R-004,CARDINAL,range,,eight or nine episodes,8 or 9 episodes,basic,generic,synthetic,
CARD-R-005,CARDINAL,range,,around fifteen to twenty minutes,around 15 to 20 minutes,basic,voice_agent,synthetic,
CARD-O-001,CARDINAL,ordinal,,the third quarter results,the 3rd quarter results,basic,finance,synthetic,
CARD-O-002,CARDINAL,ordinal,,she finished in twenty first place,she finished in 21st place,basic,generic,synthetic,
CARD-O-003,CARDINAL,ordinal,,our fifth attempt,our 5th attempt,basic,meeting,synthetic,
CARD-O-004,CARDINAL,ordinal,,the one hundred and second floor,the 102nd floor,basic,generic,synthetic,
CARD-E001,CARDINAL,twenty_twenty_ambig,,we got twenty twenty vision,we got 20/20 vision,edge,medical,synthetic,"20/20 — not year, not 2,020"
CARD-E002,CARDINAL,fraction,,two and a half cups,2.5 cups,edge,generic,synthetic,
CARD-E003,CARDINAL,negative,,down by negative five,down by -5,edge,finance,synthetic,
CARD-E004,CARDINAL,approximate,,give or take a hundred or so,give or take 100 or so,edge,meeting,synthetic,
PCT-001,PERCENT,basic,Use the % symbol.,growth was twenty percent,growth was 20%,basic,meeting,synthetic,
PCT-002,PERCENT,basic,,conversion is at five percent,conversion is at 5%,basic,finance,synthetic,
PCT-003,PERCENT,basic,Use the % symbol.,we saw thirty percent uplift,we saw 30% uplift,basic,finance,synthetic,
PCT-004,PERCENT,basic,,the rate is fifteen percent,the rate is 15%,basic,contact_center,synthetic,
PCT-005,PERCENT,basic,Use the % symbol.,about fifty percent of users,about 50% of users,basic,meeting,synthetic,
PCT-006,PERCENT,basic,,dropped by ten percent,dropped by 10%,basic,finance,synthetic,
PCT-007,PERCENT,basic,Use the % symbol.,seventy five percent agree,75% agree,basic,contact_center,synthetic,
PCT-008,PERCENT,basic,,ninety percent confident,90% confident,basic,meeting,synthetic,
PCT-009,PERCENT,basic,Use the % symbol.,only one percent churn,only 1% churn,basic,finance,synthetic,
PCT-010,PERCENT,basic,,forty percent off,40% off,basic,contact_center,synthetic,
PCT-D-001,PERCENT,decimal,,rate of two point five percent,rate of 2.5%,edge,finance,synthetic,
PCT-D-002,PERCENT,decimal,,around three point one four percent,around 3.14%,edge,meeting,synthetic,
PCT-D-003,PERCENT,decimal,,ninety nine point nine percent uptime,99.9% uptime,edge,meeting,synthetic,
PCT-D-004,PERCENT,decimal,,zero point five percent margin,0.5% margin,edge,finance,synthetic,
PCT-D-005,PERCENT,decimal,,six point seven five percent apr,6.75% APR,edge,finance,synthetic,
PCT-D-006,PERCENT,decimal,,twelve point three percent yoy,12.3% YoY,edge,finance,synthetic,
PCT-S001,PERCENT,spell_out_word,"Keep 'percent' as the word, not the symbol.",we hit twenty percent,we hit 20 percent,edge,generic,synthetic,prompt overrides default
PCT-S002,PERCENT,spell_out_word,"Keep 'percent' as the word, not the symbol.",down five percent,down 5 percent,edge,finance,synthetic,
PCT-S003,PERCENT,use_symbol,Always use the % symbol.,approximately fifteen percent,approximately 15%,basic,finance,synthetic,
PCT-S004,PERCENT,use_symbol,Always use the % symbol.,ninety percent of cases,90% of cases,basic,medical,synthetic,
PCT-S005,PERCENT,use_symbol,Always use the % symbol.,around thirty three and a third percent,around 33.3%,edge,generic,synthetic,fraction phrase
PCT-E001,PERCENT,over_100,,growth of one hundred fifty percent,growth of 150%,edge,finance,synthetic,
PCT-E002,PERCENT,negative,,down negative five percent,down -5%,edge,finance,synthetic,
PCT-E003,PERCENT,zero,,exactly zero percent change,exactly 0% change,edge,finance,synthetic,
PCT-E004,PERCENT,basis_points_phrase,,up fifty basis points,up 50 bps,edge,finance,synthetic,bps not pct — domain term
PHONE-001,PHONE_NUMBER,us_default,Format phone numbers as XXX-XXX-XXXX.,call me at five five five eight six seven five three oh nine,call me at 555-867-5309,basic,voice_agent,synthetic,
PHONE-002,PHONE_NUMBER,us_default,,the number is two one two five five five oh one oh one,the number is 212-555-0101,basic,contact_center,synthetic,
PHONE-003,PHONE_NUMBER,us_default,Format phone numbers as XXX-XXX-XXXX.,dial four one five five five five eight oh oh oh,dial 415-555-8000,basic,voice_agent,synthetic,
PHONE-004,PHONE_NUMBER,us_default,,reach support at eight hundred five five five three two one zero,reach support at 800-555-3210,basic,contact_center,synthetic,
PHONE-005,PHONE_NUMBER,us_default,Format phone numbers as XXX-XXX-XXXX.,his cell is six one seven five five five four nine eight seven,his cell is 617-555-4987,basic,generic,synthetic,
PHONE-006,PHONE_NUMBER,us_default,,try three one zero five five five seven seven seven seven,try 310-555-7777,basic,voice_agent,synthetic,
PHONE-007,PHONE_NUMBER,us_default,Format phone numbers as XXX-XXX-XXXX.,our office is two oh six five five five one two three four,our office is 206-555-1234,basic,contact_center,synthetic,
PHONE-008,PHONE_NUMBER,us_default,,front desk eight five five five five five oh nine nine nine,front desk 855-555-0999,basic,contact_center,synthetic,
PHONE-009,PHONE_NUMBER,us_default,Format phone numbers as XXX-XXX-XXXX.,after hours nine eight four five five five eight eight eight eight,after hours 984-555-8888,basic,contact_center,synthetic,
PHONE-010,PHONE_NUMBER,us_default,,call seven seven three five five five oh four oh four,call 773-555-0404,basic,voice_agent,synthetic,
PHONE-E164-001,PHONE_NUMBER,e164,Format phone numbers in E.164.,call five one zero five five five two two three three,call +15105552233,basic,voice_agent,synthetic,
PHONE-E164-002,PHONE_NUMBER,e164,Format phone numbers in E.164.,the number is six four six five five five eight nine zero one,the number is +16465558901,basic,contact_center,synthetic,
PHONE-E164-003,PHONE_NUMBER,e164,Format phone numbers in E.164.,ring two oh two five five five three four five six,ring +12025553456,basic,voice_agent,synthetic,
PHONE-E164-004,PHONE_NUMBER,e164,Format phone numbers in E.164.,dial four eight oh five five five seven eight nine zero,dial +14805557890,basic,contact_center,synthetic,
PHONE-E164-005,PHONE_NUMBER,e164,Format phone numbers in E.164.,eight three two five five five oh oh six six,+18325550066,basic,contact_center,synthetic,
PHONE-E164-006,PHONE_NUMBER,e164,Format phone numbers in E.164.,seven one nine five five five one one one one,+17195551111,basic,voice_agent,synthetic,
PHONE-E164-007,PHONE_NUMBER,e164,Format phone numbers in E.164.,nine one seven five five five four three two one,+19175554321,basic,contact_center,synthetic,
PHONE-E164-008,PHONE_NUMBER,e164,Format phone numbers in E.164.,six oh two five five five oh nine one zero,+16025550910,basic,voice_agent,synthetic,
PHONE-P-001,PHONE_NUMBER,parens_dashed,Format phone numbers as (XXX) XXX-XXXX.,call five oh three five five five eight eight eight zero for details,call (503) 555-8880 for details,basic,contact_center,synthetic,
PHONE-P-002,PHONE_NUMBER,parens_dashed,Format phone numbers as (XXX) XXX-XXXX.,call two one two five five five seven six five four for details,call (212) 555-7654 for details,basic,contact_center,synthetic,
PHONE-P-003,PHONE_NUMBER,parens_dashed,Format phone numbers as (XXX) XXX-XXXX.,call eight one eight five five five three two one zero for details,call (818) 555-3210 for details,basic,voice_agent,synthetic,
PHONE-P-004,PHONE_NUMBER,parens_dashed,Format phone numbers as (XXX) XXX-XXXX.,call six one seven five five five oh oh oh one for details,call (617) 555-0001 for details,basic,generic,synthetic,
PHONE-P-005,PHONE_NUMBER,parens_dashed,Format phone numbers as (XXX) XXX-XXXX.,call nine seven three five five five four four five five for details,call (973) 555-4455 for details,basic,contact_center,synthetic,
PHONE-F-001,PHONE_NUMBER,free_form,,yeah it's like uh five five five one two one two,yeah it's like uh 555-1212,edge,contact_center,synthetic,7-digit / short-code / shortened forms
PHONE-F-002,PHONE_NUMBER,free_form,,the local one is just three two one four five six seven,the local one is just 321-4567,edge,generic,synthetic,7-digit / short-code / shortened forms
PHONE-F-003,PHONE_NUMBER,free_form,,the short code is two two three three three,the short code is 22333,edge,voice_agent,synthetic,7-digit / short-code / shortened forms
PHONE-F-004,PHONE_NUMBER,free_form,,you can fax us at five five five nine eight seven six,you can fax us at 555-9876,edge,contact_center,synthetic,7-digit / short-code / shortened forms
PHONE-F-005,PHONE_NUMBER,free_form,,hotline four one one,hotline 411,edge,generic,synthetic,7-digit / short-code / shortened forms
PHONE-X001,PHONE_NUMBER,with_extension,,call two one two five five five one two three four extension four oh seven,call 212-555-1234 ext. 407,edge,contact_center,synthetic,extension
PHONE-X002,PHONE_NUMBER,international,,in london it's plus four four two oh seven nine four six oh nine five eight,in London it's +44 20 7946 0958,edge,generic,synthetic,UK number
PHONE-X003,PHONE_NUMBER,international,,from paris dial plus three three one four two seven eight nine zero one two,from Paris dial +33 1 42 78 90 12,edge,generic,synthetic,FR number
PHONE-X004,PHONE_NUMBER,spelled_letters_mixed,This is a US phone number; treat letters as keypad mappings.,call one eight hundred flowers,call 1-800-FLOWERS,edge,voice_agent,synthetic,vanity number — keep letters
PHONE-X005,PHONE_NUMBER,digit_repeat,,call five five five five five five five five five five,call 555-555-5555,edge,voice_agent,synthetic,all 5s
PHONE-X006,PHONE_NUMBER,with_extension,,the direct line is six one seven five five five oh nine nine nine ext two two two,the direct line is 617-555-0999 ext. 222,edge,contact_center,synthetic,
PHONE-X007,PHONE_NUMBER,already_digits,,call me at 555 867 5309,call me at 555-867-5309,basic,voice_agent,synthetic,ASR partial-normalized digits
EMAIL-001,EMAIL_ADDRESS,basic,Render emails in lowercase.,send it to john at acme dot com,send it to john@acme.com,basic,voice_agent,synthetic,
EMAIL-002,EMAIL_ADDRESS,basic,,email me at sarah dot lee at gmail dot com,email me at sarah.lee@gmail.com,basic,generic,synthetic,
EMAIL-003,EMAIL_ADDRESS,basic,Render emails in lowercase.,it's mike at example dot org,it's mike@example.org,basic,generic,synthetic,
EMAIL-004,EMAIL_ADDRESS,basic,,contact info at company dot io,contact info@company.io,basic,contact_center,synthetic,
EMAIL-005,EMAIL_ADDRESS,basic,Render emails in lowercase.,reach out to dave at startup dot co,reach out to dave@startup.co,basic,generic,synthetic,
EMAIL-006,EMAIL_ADDRESS,basic,,reply to support at helpdesk dot com,reply to support@helpdesk.com,basic,contact_center,synthetic,
EMAIL-007,EMAIL_ADDRESS,basic,Render emails in lowercase.,ping me at chris at outlook dot com,ping me at chris@outlook.com,basic,generic,synthetic,
EMAIL-008,EMAIL_ADDRESS,basic,,write to admin at school dot edu,write to admin@school.edu,basic,generic,synthetic,
EMAIL-009,EMAIL_ADDRESS,basic,,send to billing at acmecorp dot com,send to billing@acmecorp.com,basic,contact_center,synthetic,
EMAIL-010,EMAIL_ADDRESS,basic,,hello at mybiz dot net,hello@mybiz.net,basic,generic,synthetic,
