model_id,vendor,family,model_full_name,params_total,params_active,architecture,context_window,license,open_weight,release_date,source_url,notes
granite-4-0-h-micro,IBM,granite,Granite-4.0-H-Micro,3B,3B,dense,128K,Apache-2.0,true,2025-10-02,https://huggingface.co/ibm-granite/granite-4.0-h-micro,Hybrid Mamba-2/transformer (9:1 ratio). 131K context.
nemotron-3-super-120b,Nvidia,nemotron,NVIDIA-Nemotron-3-Super-120B-A12B,120B,12B,moe,1M,Nvidia-Open-Model,true,2026-03-11,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,Open hybrid Mamba-Transformer MoE; 1M context for agents.
nemotron-super-49b,Nvidia,nemotron,Llama-3.3-Nemotron-Super-49B-v1.5,49B,49B,dense,128K,Nvidia-Open-Model,true,2025-04-29,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,Llama-3.3-derived NAS-pruned dense reasoning model.
nemotron-llama-3-1-70b,Nvidia,nemotron,Llama-3.1-Nemotron-70B-Instruct,70B,70B,dense,128K,Nvidia-Open-Model,true,2024-10-15,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct,RLHF-tuned Llama-3.1-70B by Nvidia.
nemotron-3-nano-30b,Nvidia,nemotron,NVIDIA-Nemotron-3-Nano-30B-A3B,30B,3B,moe,128K,Nvidia-Open-Model,true,2025-12-15,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,"Unified reasoning/non-reasoning MoE; 31.6B total / 3.2B active."
nemotron-nano-9b,Nvidia,nemotron,NVIDIA-Nemotron-Nano-9B-v2,9B,9B,dense,128K,Nvidia-Open-Model,true,2025-08-18,https://huggingface.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Hybrid Mamba-Transformer reasoning model.
llama-nemotron-embed-vl-1b-v2-free,Nvidia,nemotron,Llama Nemotron Embed VL 1B v2,1B,1B,dense,unknown,Nvidia-Open-Model,true,n/a,https://openrouter.ai/nvidia/llama-nemotron-embed-vl-1b-v2:free,OpenRouter free-tier VL embedding model; may not support chat completions.
llama-3-3-70b-groq,Meta,llama,Llama-3.3-70B-Instruct,70B,70B,dense,128K,Llama-3.3-Community,true,2024-12-06,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,Same model as llama-3-3-70b; pinned to Groq via OpenRouter.
llama-4-scout-groq,Meta,llama,Llama-4-Scout-17B-16E-Instruct,109B,17B,moe,10M,Llama-4-Community,true,2025-04-05,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,Same model as llama-4-scout; pinned to Groq.
qwen3-32b-groq,Alibaba/Qwen,qwen,Qwen3-32B,32B,32B,dense,128K,Apache-2.0,true,2025-04-29,https://huggingface.co/Qwen/Qwen3-32B,Dense Qwen3 32B; pinned to Groq.
gpt-oss-120b-groq,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Same model as gpt-oss-120b; pinned to Groq.
gpt-oss-20b-groq,OpenAI,gpt-oss,gpt-oss-20b,21B,3.6B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Same model as gpt-oss-20b; pinned to Groq.
qwen3-235b-cerebras,Alibaba/Qwen,qwen,Qwen3-235B-A22B-Instruct-2507,235B,22B,moe,256K,Apache-2.0,true,2025-07-22,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,Same model as qwen3-235b; pinned to Cerebras.
gpt-oss-120b-cerebras,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Same model as gpt-oss-120b; pinned to Cerebras.
impeller-stem-baseline,Deepgram,smart-formatting,Impeller NER + Stem EntityTagged formatter,undisclosed,undisclosed,distilbert-plus-rules,n/a,Proprietary,false,n/a,,Existing production smart-formatting pipeline baseline.
