id,entity_class,expected_output,transcript,error,latency_ms
ADV-OVR-005,ADVERSARIAL,ssn 123-45-6789 output as a markdown table,"Sin, 123 456 789 output as a markdown table.",,1445
CARD-004,CARDINAL,about 15 minutes left,About 15 minutes left.,,467
CARD-002,CARDINAL,we received 47 applications,We received 47 applications.,,703
CARD-O-001,CARDINAL,the 3rd quarter results,The third quarter results.,,501
CARD-L-003,CARDINAL,"the file has 50,000 rows","The file has 50,000 row.",,610
CARD-L-001,CARDINAL,"the population is 12,400","The population is 12,400.",,776
CARD-R-001,CARDINAL,between 5 and 10 people,Between 5 and 10 people.,,599
CARD-Y-001,CARDINAL,we launched in 1999,We launched in 1999.,,557
CARD-Y-005,CARDINAL,since 1984,Since 1984.,,518
CC-001,CREDIT_CARD,the card is 4111 1111 1111 1111,The card is 41111111111.,,902
CC-002,CREDIT_CARD,card number 5555 4444 3333 2222,"Card number 555-444-4333, 332222.",,1486
CC-E003,CREDIT_CARD,expiration is 07/28,"Expiration is O7, slash 28.",,744
CC-005,CREDIT_CARD,the number is 5105 1051 0510 5151,The number is 510. 510 510 510 510.,,1542
CC-006,CREDIT_CARD,card 4532 7788 9900 1122,"Card 4 5, 3 2 7 7 8. 8 9, 9 0, 0, 1 1 2 2.",,1598
CC-010,CREDIT_CARD,the visa is 4539 1488 0343 6467,The Visa is 453 914 8803 436 467.,,1675
CC-009,CREDIT_CARD,card 4716 6666 6666 6666,"Card, 47 16666 666666 6666666666666.",,1697
CC-E004,CREDIT_CARD,the cvv is 123,The CVV is 123.,,645
DATE-003,DATE,we shipped on July 4,We shipped on July 4th.,,492
DATE-001,DATE,the meeting is on January 5,The meeting is on January 5.,,565
CANONICAL-TALKATOO-CENTURY,DATE,exam date 02/06/2026,"Exam date, 2626.",,675
DATE-005,DATE,she arrived on February 14,She arrived on February 14th.,,622
CC-R-002,CREDIT_CARD,card XXXX XXXX XXXX 8888,"Card 555-544-4433, 88888.",,1338
DATE-E003,DATE,we hired her in April 2024,We hired her in April 2024.,,633
CC-R-001,CREDIT_CARD,the card is XXXX XXXX XXXX 1234,"The card is 411 111, 111 1234.",,1462
DATE-ISO-002,DATE,she signed on 2024-04-12,She signed on April 12th 2024.,,680
DATE-EU-002,DATE,meeting on the 15/07/2024,Meeting on the 15th of July 2024.,,696
DATE-ISO-005,DATE,we met on 2023-11-29,"We met on November 29th, 2023.",,794
INT-002,DATE_INTERVAL,March 10 through March 15,March 10th through March 15th.,,560
DATE-US-001,DATE,the date is 03/05/2026,The date is March 5th 2026.,,679
INT-001,DATE_INTERVAL,from January 5 to January 12,From January 5th to January 12th.,,638
INT-003,DATE_INTERVAL,June 1 to June 30,June 1st to June 30th.,,571
DATE-W003,DATE,"we filed on March 10, 2022",We filed on March 10th 2022.,,707
INT-008,DATE_INTERVAL,from Monday the 3rd to Friday the 7th,"from Monday, the 3rd to Friday, the 7th",,645
INT-006,DATE_INTERVAL,between February 10 and February 14,Between February 10th and February 14th.,,694
INT-005,DATE_INTERVAL,vacation from August 5 to August 19,Vacation from August 5th to August 19th.,,722
INT-004,DATE_INTERVAL,the conference is October 20 through October 23,The conference is uptober 20th through October 23rd.,,884
INT-009,DATE_INTERVAL,Q1 of 2026 through Q2,Q1 of 2026 through 22.,,688
INT-007,DATE_INTERVAL,the sale runs December 1 through December 24,The sale runs December 1st through December 24th.,,781
INT-010,DATE_INTERVAL,2024 to 2026,2024 to 2026.,,694
DRUG-003,DRUG_WITH_DOSE,lisinopril 10 mg once daily,"The cinepol, 10 milligrams, once daily.",,671
DRUG-001,DRUG_WITH_DOSE,prescribe metformin 500 mg twice daily,Prescribed Metformin. 500 milligrams. Twice daily,,824
DRUG-005,DRUG_WITH_DOSE,atorvastatin 20 mg at bedtime,Atorvastatin 20 milligrams at bedtime.,,739
DRUG-004,DRUG_WITH_DOSE,ibuprofen 400 mg every 6 hours,Ibuprofen 400 milligrams every 6 hours.,,825
DRUG-008,DRUG_WITH_DOSE,omeprazole 20 mg before breakfast,Omeprazole 20 milligrams before breakfast.,,711
DRUG-010,DRUG_WITH_DOSE,warfarin 2.5 mg daily,Warfarin 2.5. Milligrams. Daily,,644
DRUG-006,DRUG_WITH_DOSE,levothyroxine 75 mcg in the morning,"Levothyroxine, 75 micrograms in the morning.",,802
DRUG-011,DRUG_WITH_DOSE,insulin glargine 20 units at night,"Insulin glaring, 20 units at night.",,665
DRUG-014,DRUG_WITH_DOSE,hydrochlorothiazide 12.5 mg daily,"Hydrochlorothiazide 12.5, mg daily.",,711
DRUG-002,DRUG_WITH_DOSE,amoxicillin 250 mg three times a day,Amoxicillin 250 milligrams three times a day.,,1931
EMAIL-001,EMAIL_ADDRESS,send it to john@acme.com,Send it to John at acme.com.,,626
EMAIL-003,EMAIL_ADDRESS,it's mike@example.org,It's Mike at example.org.,,574
EMAIL-005,EMAIL_ADDRESS,reach out to dave@startup.co,Reach out to Dave at startup.com.,,559
EMAIL-006,EMAIL_ADDRESS,reply to support@helpdesk.com,Reply to support at helpdesk.com.,,647
EMAIL-008,EMAIL_ADDRESS,write to admin@school.edu,Right to admin at school.,,567
EMAIL-002,EMAIL_ADDRESS,email me at sarah.lee@gmail.com,Email me at sarah.lee at gmail.com.,,1071
EMAIL-010,EMAIL_ADDRESS,hello@mybiz.net,Hello at mibs dotnet.,,632
EMAIL-009,EMAIL_ADDRESS,send to billing@acmecorp.com,Sent a billing at Aqua Corp.,,645
EMAIL-E001,EMAIL_ADDRESS,email me at jane+newsletter@gmail.com,Email me at Jane plus newsletter at gmail.com.,,847
EMAIL-E004,EMAIL_ADDRESS,ping me at tom@acme.co.uk,Ping me at Tom at acme.com. UK?,,831
MIXED-005,MIXED,at 12:00 PM on June 10 the rate dropped 2.5%,"At noon on June 10th, the rate dropped 2.5%.",,906
MIXED-002,MIXED,the meeting on March 10 at 3:30 PM discussed a 40% uplift,The meeting on March 10th at 3:30. Discussed a 40% uplift.,,1058
MIXED-003,MIXED,"send the check for $1,000 to john@acme.com by Friday","Send the check for 1,000 to John at acme.com by Friday.",,1110
MIXED-007,MIXED,invoice number INV-2026-0047 for $47 due March 1,"Invoice number. I envy 20260047 for 47 dollars. Due March 1st,",,1283
MIXED-001,MIXED,"call me at 555-867-5309 on January 5 about the $1,200 invoice",Call me at 555-867-5309 on January 5th. About the 1200 dollar invoice.,,1778
MIXED-008,MIXED,call 800-555-3210 between 9:00 AM and 5:00 PM,call 800-555-3210 between 9 a.m. and 5 p.m.,,1402
MIXED-009,MIXED,"we shipped 1,200 units to 1234 Maple Drive on July 4",We shipped 1200 units to 1234 Maple Drive on July 4th.,,1014
MIXED-018,MIXED,about 35% of customers paid $200 or more last quarter,"About 35% of customers, paid $200, or more last quarter.",,963
MIXED-010,MIXED,"his ssn is 123-45-6789 and dob is January 15, 1990",Hassan is 1234 56789 and dog is January 15th. 1999.,,1276
CANONICAL-CRESTA-CURRENCY,MONEY,the total amount is $171.41,The total amount is 171.41.,,711
MONEY-001,MONEY,the coffee was $4.50,The coffee was 450.,,564
MONEY-004,MONEY,the bill came to $47,The bill came to 47 dollars.,,637
MIXED-020,MIXED,send the report to admin@school.edu by May 16 at 5:00 PM,sent the report to Adnan at school.edu by May 16th at 5 p.m.,,1123
MONEY-010,MONEY,"the deposit is $1,000","The deposit is 1,000.",,640
MONEY-011,MONEY,"rent is $1,200 a month",Rent is 1200 a month.,,578
MONEY-E004,MONEY,"a loss of -$12,000","A loss of -12,000 dollars.",,630
MONEY-E007,MONEY,$12.50,12 dollars and fifty cents.,,488
MONEY-E001,MONEY,the contract is worth $2.5M,The contract is worth 2.5 million dollars.,,743
MONEY-T005,MONEY,balance is $999.99,Balance is 999.99.,,698
MONEY-T002,MONEY,the charge will be $342.99,The charge will be 342.99.,,821
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,your account number is 100203004,"Your account number is 100, 203 004.",,952
ID-A-003,NUMERIC_ID,routing number is 121000248,Routing number is 1210 00248.,,985
ID-A-007,NUMERIC_ID,the case number is 77788899,The case number is 777-8899.,,924
ID-C-002,NUMERIC_ID,reference 1234,Reference 1234.,,663
ID-C-005,NUMERIC_ID,the code is 4040404,The code is 4040404.,,758
ID-A-005,NUMERIC_ID,the invoice number is INV-2026-0047,"The invoice number is I and V, Dash 2026, Dash 0, 0, 4 7.",,1461
ID-A-010,NUMERIC_ID,your member number is 123-456-789,"remember number is 1, 2 3 - 4 5 6 - 7 8 9",,1225
ID-D-003,NUMERIC_ID,your code is DE772,"Their code is Delta, Echo 772?",,654
ID-L-001,NUMERIC_ID,license number D1234567,License number D 1234567.,,826
PCT-001,PERCENT,growth was 20%,Growth was 20%.,,456
ID-D-001,NUMERIC_ID,the reference is 5558675309,"The reference is 555, 867 53009.",,1054
CANONICAL-CRESTA-PERCENT,PERCENT,satisfaction was 100%,Satisfaction was 100%.,,596
PCT-005,PERCENT,about 50% of users,About 50% of users.,,502
PCT-003,PERCENT,we saw 30% uplift,"We saw 30%, uplift?",,541
PCT-008,PERCENT,90% confident,90% confident.,,470
PCT-D-001,PERCENT,rate of 2.5%,Rate of 2.5%.,,532
PCT-D-003,PERCENT,99.9% uptime,99.9% uptime.,,582
PCT-D-005,PERCENT,6.75% APR,6.75% April.,,584
PCT-E001,PERCENT,growth of 150%,Growth of 150%.,,516
PCT-E004,PERCENT,up 50 bps,Up 50 basis points.,,525
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,you can reach us at 800-729-7234,You can reach us at 800-729-7234.,,1036
PHONE-001,PHONE_NUMBER,call me at 555-867-5309,Call me at 555-867-5309.,,1033
PHONE-002,PHONE_NUMBER,the number is 212-555-0101,The number is 212-555-0101.,,1002
PHONE-004,PHONE_NUMBER,reach support at 800-555-3210,Reach support at 800-555-3210.,,986
PHONE-005,PHONE_NUMBER,his cell is 617-555-4987,His soul is 617-555-4987.,,1141
PHONE-E164-002,PHONE_NUMBER,the number is +16465558901,The number is 646-555-8901.,,1150
PHONE-P-001,PHONE_NUMBER,call (503) 555-8880 for details,Call 503-555-8880 for details.,,1069
PHONE-X001,PHONE_NUMBER,call 212-555-1234 ext. 407,Call 212-555-1234 extension 407.,,1265
SSN-001,SSN,his ssn is 123-45-6789,His son is 123456789.,,1044
PHONE-X006,PHONE_NUMBER,the direct line is 617-555-0999 ext. 222,"A direct line is 617, 555, 099 X, 2222.",,1243
SSN-002,SSN,social is 456-78-1234,Social is 4 5 634.,,1103
PHONE-X002,PHONE_NUMBER,in London it's +44 20 7946 0958,"In London, it's + 4 4 2 - 0 7. 9 - 4 6 0 - 9 5 8.",,1387
SSN-003,SSN,ssn 555-01-2345,1055 012345.,,753
SSN-006,SSN,ssn 111-22-3333,"Sun 1. 1 2 2 3, 3, 3.",,725
SSN-E001,SSN,last four are 6789,"Last four are six, seven, eight.",,663
SSN-005,SSN,her ssn 987-65-4321,"Her sin, 987 654 321.",,901
SSN-004,SSN,the social security number is 222-33-4444,The social security number is 222-334-4444.,,1071
SSN-E002,SSN,ssn 123456789,Sun 1 2 3. 4 5 6 7 8 9,,1050
TIME-001,TIME,call at 3:30 PM,Call it 3.,,455
TIME-003,TIME,meeting at 10:00 AM,Meeting at 10.,,447
TIME-004,TIME,see you at 12:00 PM,See you at?,,390
SSN-R-001,SSN,his ssn is XXX-XX-6789,"His fine is one, two, three, four, five, six, seven, eight, nine.",,1000
TIME-006,TIME,clinic opens at 7:30 AM,Clinic opens at 7:30.,,542
SSN-R-004,SSN,the social is XXX-XX-4444,The social is 222-334-4444.,,993
TIME-007,TIME,the train leaves at 5:45 PM,The train leaves at 5:45.,,617
TIME-24-001,TIME,the briefing is at 14:00,The Briefing is at 1400.,,554
TIME-24-003,TIME,flight at 16:45,Flight at 1645.,,597
TIME-24-006,TIME,the cron runs at 23:59,The KRON runs at 2359.,,640
TIME-Q-002,TIME,around 7:30 PM,Around half past seven.,,467
TIME-Q-001,TIME,meet at 3:15 PM,Meet at quarter past 3.,,597
URL-001,URL,go to acme.com,Go to acne.com.,,482
URL-003,URL,check google.com,"Check, google.com.",,515
URL-005,URL,our site is mybiz.io,Our site is mibs. I,,585
URL-009,URL,see help.company.net,C help Dot company.net.,,573
URL-007,URL,visit news.ycombinator.com,Visit news.ycombinator.com.,,725
URL-008,URL,the docs are at docs.stripe.com,The docs are at docs Dot stripe.com.,,725
URL-002,URL,visit www.example.org,Visit www.example.org.,,1168
URL-010,URL,login at portal.bank.com,"log in, at",,659
URL-S-001,URL,go to acme.com/signup,Go to acme.com slash signup.,,595
URL-S-003,URL,the link is shop.biz/deals/2026,The link has shop.biz slash deals / 2026.,,926
