id,entity_class,expected_output,transcript,error,latency_ms
ADV-TRAP-004,ADVERSARIAL,we paid $899.99,We paid $899.99-,,492
ADV-TRAP-009,ADVERSARIAL,we collected $342.99,We collected $342.99.,,552
CANONICAL-AVOMA-YEAR,CARDINAL,we expect to launch in 2026,We expect to launch in 2026.,,622
CARD-002,CARDINAL,we received 47 applications,We received 47 applications.,,397
CARD-001,CARDINAL,there are 23 people in the room,There are 23 people in the room-,,594
CARD-004,CARDINAL,about 15 minutes left,About 15 minutes left.,,420
CARD-Y-005,CARDINAL,since 1984,Since 1984.,,469
CARD-R-001,CARDINAL,between 5 and 10 people,Between five and ten people.,,502
CARD-Y-001,CARDINAL,we launched in 1999,We launched in 1999.,,577
CARD-L-001,CARDINAL,"the population is 12,400","The population is twelve thousand four hundred (12,400).",,988
CARD-L-003,CARDINAL,"the file has 50,000 rows","The file has 50,000 rows-",,928
CARD-O-001,CARDINAL,the 3rd quarter results,The third quarter results.,,832
CC-001,CREDIT_CARD,the card is 4111 1111 1111 1111,The card is 41111111111. (laughs),,827
CC-006,CREDIT_CARD,card 4532 7788 9900 1122,Card 4532778899001122.,,569
CC-002,CREDIT_CARD,card number 5555 4444 3333 2222,Card number 555-444-4333-3222-2228.,,900
CC-005,CREDIT_CARD,the number is 5105 1051 0510 5151,The number is 510-510-510-510-5100 (music).,,851
CC-009,CREDIT_CARD,card 4716 6666 6666 6666,"Card 47. 1-6-6-6, 6-6-6, 6-6-6, 6-6-6.",,771
CC-010,CREDIT_CARD,the visa is 4539 1488 0343 6467,The visa is 453-914-8803 436467.,,937
CC-E003,CREDIT_CARD,expiration is 07/28,Expiration is 07/28.,,507
CC-E004,CREDIT_CARD,the cvv is 123,The CVV is 123.,,599
CANONICAL-TALKATOO-CENTURY,DATE,exam date 02/06/2026,Exam date 2/6/26.,,432
CC-R-002,CREDIT_CARD,card XXXX XXXX XXXX 8888,Card 555-544-443-333-8888.,,591
DATE-001,DATE,the meeting is on January 5,The meeting is on January 5th.,,481
DATE-003,DATE,we shipped on July 4,We shipped on July 4th.,,498
DATE-005,DATE,she arrived on February 14,She arrived on February 14th.,,588
DATE-E003,DATE,we hired her in April 2024,We hired her in April 2024.,,556
CC-R-001,CREDIT_CARD,the card is XXXX XXXX XXXX 1234,"The card is 4 1 1, 1 1 1, 1 1 1 1, 1 1 1, 1 2 3 4.",,1227
DATE-EU-002,DATE,meeting on the 15/07/2024,"Meeting on the 15th of July, 2024...",,702
DATE-ISO-002,DATE,she signed on 2024-04-12,"She signed on April 12th, 2024.",,710
DATE-ISO-005,DATE,we met on 2023-11-29,"We met on November 29th, 2023.",,630
DATE-US-001,DATE,the date is 03/05/2026,"The date is March 5th, 2026.",,576
DATE-W003,DATE,"we filed on March 10, 2022","We filed on March 10th, 2022.",,708
INT-002,DATE_INTERVAL,March 10 through March 15,March 10th through March 15th.,,515
INT-001,DATE_INTERVAL,from January 5 to January 12,From January 5th to January 12th.,,644
INT-004,DATE_INTERVAL,the conference is October 20 through October 23,The conference is October 20th through October 23rd.,,568
INT-003,DATE_INTERVAL,June 1 to June 30,June 1st to June 30th.,,781
INT-005,DATE_INTERVAL,vacation from August 5 to August 19,Vacation from August 5th to August 19th.,,710
INT-008,DATE_INTERVAL,from Monday the 3rd to Friday the 7th,From Monday the 3rd to Friday the 7th.,,668
INT-006,DATE_INTERVAL,between February 10 and February 14,Between February 10th and February 14th.,,781
INT-009,DATE_INTERVAL,Q1 of 2026 through Q2,Q1 of 2026 through Q2-,,551
INT-010,DATE_INTERVAL,2024 to 2026,2024-2026.,,483
DRUG-001,DRUG_WITH_DOSE,prescribe metformin 500 mg twice daily,Prescribe Metformin 500 milligrams twice daily.,,528
INT-007,DATE_INTERVAL,the sale runs December 1 through December 24,The sale runs December 1st through December 24th.,,1155
DRUG-002,DRUG_WITH_DOSE,amoxicillin 250 mg three times a day,Amoxicillin 250 milligrams three times a day.,,540
DRUG-003,DRUG_WITH_DOSE,lisinopril 10 mg once daily,Lisinopril 10 milligrams once daily.,,527
DRUG-004,DRUG_WITH_DOSE,ibuprofen 400 mg every 6 hours,Ibuprofen 400 milligrams every six hours.,,591
DRUG-005,DRUG_WITH_DOSE,atorvastatin 20 mg at bedtime,Atorvastatin 20 milligrams at bedtime.,,545
DRUG-008,DRUG_WITH_DOSE,omeprazole 20 mg before breakfast,Omeprazole 20 milligrams before breakfast.,,456
DRUG-006,DRUG_WITH_DOSE,levothyroxine 75 mcg in the morning,"Levothyroxine, 75 micrograms in the morning.",,529
DRUG-010,DRUG_WITH_DOSE,warfarin 2.5 mg daily,Warfarin 2.5 milligrams daily-,,521
DRUG-011,DRUG_WITH_DOSE,insulin glargine 20 units at night,Insulin glargine 20 units at night-,,460
EMAIL-001,EMAIL_ADDRESS,send it to john@acme.com,Send it to john@acme.com.,,494
DRUG-014,DRUG_WITH_DOSE,hydrochlorothiazide 12.5 mg daily,Hydrochlorothiazide 12.5 milligrams daily.,,629
EMAIL-003,EMAIL_ADDRESS,it's mike@example.org,It's mike@example.org.,,470
EMAIL-002,EMAIL_ADDRESS,email me at sarah.lee@gmail.com,Email me at sarah.lee@gmail.com.,,531
EMAIL-006,EMAIL_ADDRESS,reply to support@helpdesk.com,Reply to support@helpdesk.com.,,452
EMAIL-005,EMAIL_ADDRESS,reach out to dave@startup.co,Reach out to dave@startup.co.,,489
EMAIL-008,EMAIL_ADDRESS,write to admin@school.edu,Write to admin@school.edu.,,412
EMAIL-010,EMAIL_ADDRESS,hello@mybiz.net,Hello@mibbes.net.,,419
EMAIL-009,EMAIL_ADDRESS,send to billing@acmecorp.com,Send to billing@aclacorp.com.,,479
EMAIL-E001,EMAIL_ADDRESS,email me at jane+newsletter@gmail.com,Email me at janeplusnewsletter@gmail.com.,,515
EMAIL-E004,EMAIL_ADDRESS,ping me at tom@acme.co.uk,Ping me at tom@acme.co.uk.,,516
MIXED-001,MIXED,"call me at 555-867-5309 on January 5 about the $1,200 invoice","Call me at (555) 867-5309 on January 5th about the $1,200 invoice.",,763
MIXED-002,MIXED,the meeting on March 10 at 3:30 PM discussed a 40% uplift,The meeting on March 10th at 3:30 discussed a 40% uplift.,,628
MIXED-005,MIXED,at 12:00 PM on June 10 the rate dropped 2.5%,"At noon on June 10th, the rate dropped to 2.5%.",,565
MIXED-003,MIXED,"send the check for $1,000 to john@acme.com by Friday",Send a check for one thousand dollars to John at acme.com by Friday.,,603
MIXED-007,MIXED,invoice number INV-2026-0047 for $47 due March 1,Invoice number INV20260047 for $47 due March 1st.,,653
MIXED-008,MIXED,call 800-555-3210 between 9:00 AM and 5:00 PM,Call 800-555-3210 between 9 a.m. and 5 p.m.,,664
MIXED-009,MIXED,"we shipped 1,200 units to 1234 Maple Drive on July 4","We shipped 1,200 units to 1234 Maple Drive on July 4th (music).",,686
MONEY-001,MONEY,the coffee was $4.50,The coffee was four hundred and fifty.,,454
MIXED-018,MIXED,about 35% of customers paid $200 or more last quarter,About 35% of customers paid $200 or more last quarter.,,902
MONEY-004,MONEY,the bill came to $47,The bill came to 47 dollars.,,397
MIXED-020,MIXED,send the report to admin@school.edu by May 16 at 5:00 PM,Send the report to admin@school.edu by May 16th at 5:00 PM.,,1004
MIXED-010,MIXED,"his ssn is 123-45-6789 and dob is January 15, 1990","His zazen is 1, 2, 3, 4, 5, 6, 7, 8, 9, and dog is January 15th, 1999.",,1162
CANONICAL-CRESTA-CURRENCY,MONEY,the total amount is $171.41,The total amount is one seventy one forty one.,,879
MONEY-011,MONEY,"rent is $1,200 a month",Rent is twelve hundred a month.,,431
MONEY-010,MONEY,"the deposit is $1,000",The deposit is 1000 dollars.,,670
MONEY-E004,MONEY,"a loss of -$12,000","A loss of negative $12,000.",,419
MONEY-E001,MONEY,the contract is worth $2.5M,The contract is worth $2.5 million.,,485
MONEY-E007,MONEY,$12.50,Twelve dollars and fifty cents.,,473
MONEY-T002,MONEY,the charge will be $342.99,The charge will be $342.99.,,508
MONEY-T005,MONEY,balance is $999.99,Balance is 99999.,,539
ID-A-003,NUMERIC_ID,routing number is 121000248,Routing number is 121000248.,,466
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,your account number is 100203004,Your account number is 100-203-004.,,551
ID-A-005,NUMERIC_ID,the invoice number is INV-2026-0047,The invoice number is INV-2026-0047.,,532
ID-A-007,NUMERIC_ID,the case number is 77788899,The case number is 77788899.,,476
ID-A-010,NUMERIC_ID,your member number is 123-456-789,Your member number is 123-456-789.,,587
ID-C-002,NUMERIC_ID,reference 1234,Reference 1234.,,365
ID-D-003,NUMERIC_ID,your code is DE772,Your code is Delta Echo 772.,,458
ID-L-001,NUMERIC_ID,license number D1234567,License number D 1234567.,,462
ID-C-005,NUMERIC_ID,the code is 4040404,The code is 4-0-4-0-4-0-4.,,595
ID-D-001,NUMERIC_ID,the reference is 5558675309,The reference is 555-867-5309.,,608
PCT-001,PERCENT,growth was 20%,Growth was 20%.,,405
PCT-003,PERCENT,we saw 30% uplift,We saw 30% uplift.,,406
PCT-005,PERCENT,about 50% of users,About 50% of users-,,418
CANONICAL-CRESTA-PERCENT,PERCENT,satisfaction was 100%,Satisfaction was one hundred percent.,,766
PCT-008,PERCENT,90% confident,Ninety percent confident.,,460
PCT-D-003,PERCENT,99.9% uptime,99.9% uptime.,,418
PCT-D-001,PERCENT,rate of 2.5%,...rate of 2.5%.,,484
PCT-D-005,PERCENT,6.75% APR,6.75% April.,,422
PCT-E004,PERCENT,up 50 bps,Up 50 basis points.,,425
PCT-E001,PERCENT,growth of 150%,Growth of 150%.,,549
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,you can reach us at 800-729-7234,You can reach us at 800-729-7234.,,589
PHONE-001,PHONE_NUMBER,call me at 555-867-5309,Call me at (555) 867-5309.,,660
PHONE-002,PHONE_NUMBER,the number is 212-555-0101,The number is 212-555-0101. (music),,671
PHONE-004,PHONE_NUMBER,reach support at 800-555-3210,Reach support at 800-555-3210.,,561
PHONE-005,PHONE_NUMBER,his cell is 617-555-4987,His cell is 617-555-4987.,,541
PHONE-E164-002,PHONE_NUMBER,the number is +16465558901,The number is 646-555-8901.,,525
PHONE-P-001,PHONE_NUMBER,call (503) 555-8880 for details,Call 503-555-8880 for details.,,544
PHONE-X001,PHONE_NUMBER,call 212-555-1234 ext. 407,"Call 212-555-1234, extension 407.",,554
PHONE-X002,PHONE_NUMBER,in London it's +44 20 7946 0958,"In London, it's +442-079-460-958.",,575
SSN-002,SSN,social is 456-78-1234,Social is 456-781-2340.,,504
PHONE-X006,PHONE_NUMBER,the direct line is 617-555-0999 ext. 222,The direct line is 617-555-099-X222.,,681
SSN-001,SSN,his ssn is 123-45-6789,His son is 123-45-6789.,,619
SSN-003,SSN,ssn 555-01-2345,10-5-5-5 0-1-2-3-4-5.,,599
SSN-005,SSN,her ssn 987-65-4321,Her sent 987654321.,,423
SSN-004,SSN,the social security number is 222-33-4444,The Social Security number is 222-334-4444.,,569
SSN-E001,SSN,last four are 6789,"Last four are 6, 7, 8, 9.",,552
SSN-006,SSN,ssn 111-22-3333,"Send one, one, one, two, two, three, three, three, three-",,614
SSN-R-004,SSN,the social is XXX-XX-4444,The social is 222-334-4440.,,526
TIME-001,TIME,call at 3:30 PM,"Call at 3:30, Sam.",,486
TIME-003,TIME,meeting at 10:00 AM,Meeting at 10a.,,419
SSN-E002,SSN,ssn 123456789,"Sun 1, 2, 3, 4, 5, 6, 7, 8, 9.",,966
SSN-R-001,SSN,his ssn is XXX-XX-6789,His phone is 123-456-7890-123-456-7891-123-456-7892-123-456-7893.,,808
TIME-004,TIME,see you at 12:00 PM,See you at noon.,,421
TIME-007,TIME,the train leaves at 5:45 PM,The train leaves at 5:45.,,545
TIME-24-003,TIME,flight at 16:45,Flight AT-1645.,,381
TIME-Q-001,TIME,meet at 3:15 PM,Meet at quarter past three.,,409
TIME-24-006,TIME,the cron runs at 23:59,The Kron runs at $23.59.,,430
TIME-24-001,TIME,the briefing is at 14:00,The briefing is at 1400.,,490
TIME-006,TIME,clinic opens at 7:30 AM,Clinic opens at 7:30.,,963
URL-001,URL,go to acme.com,Go to acne.com.,,450
URL-002,URL,visit www.example.org,Visit www.example.org.,,440
TIME-Q-002,TIME,around 7:30 PM,Around half past seven.,,556
URL-005,URL,our site is mybiz.io,Our site is mibbes.io.,,431
URL-003,URL,check google.com,Check google.com.,,503
URL-007,URL,visit news.ycombinator.com,Visit news.ycombinator.com.,,496
URL-009,URL,see help.company.net,See help.company.net.,,434
URL-S-001,URL,go to acme.com/signup,Go to acme.com/signup.,,440
URL-008,URL,the docs are at docs.stripe.com,The docs are at docs.stripe.com.,,531
URL-010,URL,login at portal.bank.com,Log in at portal.bank.com.,,448
URL-S-003,URL,the link is shop.biz/deals/2026,The link is shop.biz/deals/2026.,,490
