id,entity_class,expected_output,transcript,error,latency_ms
DRUG-005,DRUG_WITH_DOSE,atorvastatin 20 mg at bedtime,Atorvastatin 20 mg at bedtime.,,2558
DRUG-008,DRUG_WITH_DOSE,omeprazole 20 mg before breakfast,Omeprazole 20 mg before breakfast.,,2699
DRUG-002,DRUG_WITH_DOSE,amoxicillin 250 mg three times a day,Amoxicillin 250 mg three times a day.,,4306
DRUG-004,DRUG_WITH_DOSE,ibuprofen 400 mg every 6 hours,Ibuprofen 400 mg every 6 hours.,,4349
DRUG-006,DRUG_WITH_DOSE,levothyroxine 75 mcg in the morning,We will thyroxine 75 micrograms in the morning.,,4347
DRUG-010,DRUG_WITH_DOSE,warfarin 2.5 mg daily,Warfarin 2.5 mg daily.,,2551
EMAIL-003,EMAIL_ADDRESS,it's mike@example.org,It's mike@example.org.,,2485
DRUG-011,DRUG_WITH_DOSE,insulin glargine 20 units at night,Insulin glargine 20 units at night.,,4332
EMAIL-002,EMAIL_ADDRESS,email me at sarah.lee@gmail.com,Email me at sarah.lee@gmail.com.,,2571
EMAIL-005,EMAIL_ADDRESS,reach out to dave@startup.co,Reach out to Dave@startup.co.,,2482
DRUG-014,DRUG_WITH_DOSE,hydrochlorothiazide 12.5 mg daily,Hydrochlorothiazide 12.5 mg daily.,,4319
EMAIL-001,EMAIL_ADDRESS,send it to john@acme.com,Send it to john@acme.com.,,4250
EMAIL-008,EMAIL_ADDRESS,write to admin@school.edu,Write to admin@school.edu.,,2607
EMAIL-006,EMAIL_ADDRESS,reply to support@helpdesk.com,Reply to support@helpdesk.com.,,2668
EMAIL-010,EMAIL_ADDRESS,hello@mybiz.net,Hello@mibiz.net.,,2509
EMAIL-E001,EMAIL_ADDRESS,email me at jane+newsletter@gmail.com,Email me at jane+newsletter@gmail.com.,,2582
EMAIL-E004,EMAIL_ADDRESS,ping me at tom@acme.co.uk,Ping me at tom@acme.co.uk.,,2766
EMAIL-009,EMAIL_ADDRESS,send to billing@acmecorp.com,Send to billing@acvacorp.com.,,4324
MIXED-002,MIXED,the meeting on March 10 at 3:30 PM discussed a 40% uplift,The meeting on March 10 at 3:30 discussed a 40% uplift.,,2718
MIXED-008,MIXED,call 800-555-3210 between 9:00 AM and 5:00 PM,Call 800 555 3210 between 9:00 AM and 5:00 PM.,,2697
MIXED-001,MIXED,"call me at 555-867-5309 on January 5 about the $1,200 invoice","Call me at 555 867 5309 on January 5, about the $1,200 invoice.",,4489
MIXED-003,MIXED,"send the check for $1,000 to john@acme.com by Friday","Send the check for $1,000 to john@acme.com by Friday.",,4305
MIXED-009,MIXED,"we shipped 1,200 units to 1234 Maple Drive on July 4","We shipped 1,200 units to 1234 Maple Drive on July 4th.",,2607
MIXED-005,MIXED,at 12:00 PM on June 10 the rate dropped 2.5%,"At noon on June 10, the rate dropped 2.5%.",,4326
MIXED-007,MIXED,invoice number INV-2026-0047 for $47 due March 1,Invoice number INV-20260047 for $47 due March 1st.,,4371
MIXED-020,MIXED,send the report to admin@school.edu by May 16 at 5:00 PM,Send the report to admin@school.edu by May 16 at 5:00 PM.,,2568
MONEY-001,MONEY,the coffee was $4.50,The coffee was 450.,,2533
MONEY-004,MONEY,the bill came to $47,The bill came to $47.,,2535
MIXED-010,MIXED,"his ssn is 123-45-6789 and dob is January 15, 1990","His ASIN is 123456789, and dog is January 15, 1999.",,4318
MIXED-018,MIXED,about 35% of customers paid $200 or more last quarter,About 35% of customers paid $200 or more last quarter.,,4272
CANONICAL-CRESTA-CURRENCY,MONEY,the total amount is $171.41,The total amount is 171.41.,,4294
MONEY-011,MONEY,"rent is $1,200 a month",Rent is twelve hundred a month.,,2507
MONEY-E001,MONEY,the contract is worth $2.5M,The contract is worth $2.5 million.,,2553
MONEY-E004,MONEY,"a loss of -$12,000",A loss of negative twelve thousand dollars.,,2482
MONEY-010,MONEY,"the deposit is $1,000","The deposit is $1,000.",,4208
MONEY-T002,MONEY,the charge will be $342.99,The charge will be 342.99.,,2667
MONEY-E007,MONEY,$12.50,$12.50.,,4248
MONEY-T005,MONEY,balance is $999.99,Balance is 999.99.,,2551
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,your account number is 100203004,Your account number is 100203004.,,2587
ID-A-003,NUMERIC_ID,routing number is 121000248,Routing number is 1210 00248.,,2564
ID-A-005,NUMERIC_ID,the invoice number is INV-2026-0047,The invoice number is INV-2026-0047.,,2648
ID-A-007,NUMERIC_ID,the case number is 77788899,The case number is 777-888-99.,,2615
ID-A-010,NUMERIC_ID,your member number is 123-456-789,Your member number is 123-456-789.,,2661
ID-C-005,NUMERIC_ID,the code is 4040404,The code is 4040404.,,2530
ID-D-001,NUMERIC_ID,the reference is 5558675309,The reference is 555-867-5309.,,2597
ID-D-003,NUMERIC_ID,your code is DE772,Your code is Delta-Echo 772.,,2532
ID-L-001,NUMERIC_ID,license number D1234567,License number D1234567.,,2605
ID-C-002,NUMERIC_ID,reference 1234,Reference 1234.,,4357
CANONICAL-CRESTA-PERCENT,PERCENT,satisfaction was 100%,Satisfaction was 100%.,,2493
PCT-001,PERCENT,growth was 20%,Growth was 20%.,,2525
PCT-005,PERCENT,about 50% of users,About 50% of users.,,2469
PCT-008,PERCENT,90% confident,90% confident.,,2453
PCT-D-001,PERCENT,rate of 2.5%,Rate of 2.5%.,,2546
PCT-003,PERCENT,we saw 30% uplift,We saw 30% uplift.,,4188
PCT-D-003,PERCENT,99.9% uptime,99.9% uptime.,,2473
PCT-D-005,PERCENT,6.75% APR,6.75% April.,,2590
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,you can reach us at 800-729-7234,You can reach us at 800 729 72 34.,,2536
PCT-E004,PERCENT,up 50 bps,Up 50 basis points.,,2709
PHONE-002,PHONE_NUMBER,the number is 212-555-0101,The number is 212 555 0101.,,2520
PCT-E001,PERCENT,growth of 150%,Growth of 150%.,,4194
PHONE-001,PHONE_NUMBER,call me at 555-867-5309,Call me at 555-867-5309.,,4344
PHONE-005,PHONE_NUMBER,his cell is 617-555-4987,His cell is 617 555 4987.,,2624
PHONE-E164-002,PHONE_NUMBER,the number is +16465558901,The number is 646 555 8901.,,2636
PHONE-004,PHONE_NUMBER,reach support at 800-555-3210,Reach support at 800-555-3210.,,4513
PHONE-P-001,PHONE_NUMBER,call (503) 555-8880 for details,Call 503-555-8880 for details.,,2703
PHONE-X002,PHONE_NUMBER,in London it's +44 20 7946 0958,In London it's +44 2079 460 958.,,2681
PHONE-X001,PHONE_NUMBER,call 212-555-1234 ext. 407,"Call 212-555-1234, extension 407.",,4368
SSN-002,SSN,social is 456-78-1234,Social is 456781234.,,2683
SSN-003,SSN,ssn 555-01-2345,10555 012345.,,2604
PHONE-X006,PHONE_NUMBER,the direct line is 617-555-0999 ext. 222,The direct line is 617 555 099 X222.,,4499
SSN-001,SSN,his ssn is 123-45-6789,His SAN is 123456789.,,4533
SSN-005,SSN,her ssn 987-65-4321,Her CEN 987654321.,,2545
SSN-004,SSN,the social security number is 222-33-4444,The Social Security number is 222-334-444.,,4412
SSN-E002,SSN,ssn 123456789,Sun123456789.,,2575
SSN-R-001,SSN,his ssn is XXX-XX-6789,His fine is 123-456-789.,,2537
SSN-006,SSN,ssn 111-22-3333,Send 111 223 333.,,4270
SSN-E001,SSN,last four are 6789,Last four are six seven eight nine.,,4230
SSN-R-004,SSN,the social is XXX-XX-4444,The social is 222 334 444.,,2518
TIME-001,TIME,call at 3:30 PM,Call at 3:37.,,2477
TIME-004,TIME,see you at 12:00 PM,See you at noon.,,2449
TIME-007,TIME,the train leaves at 5:45 PM,The train leaves at 5:45.,,2462
TIME-24-001,TIME,the briefing is at 14:00,The briefing is at 14:00.,,2493
TIME-003,TIME,meeting at 10:00 AM,Meeting at 10:08.,,4193
TIME-006,TIME,clinic opens at 7:30 AM,Clinic opens at 7:30.,,4286
TIME-24-006,TIME,the cron runs at 23:59,The cron runs at 23:59.,,2569
TIME-Q-001,TIME,meet at 3:15 PM,Meet at quarter past 3.,,2474
TIME-24-003,TIME,flight at 16:45,Flight at 16:45.,,4244
URL-001,URL,go to acme.com,Gozaacne.com.,,2554
TIME-Q-002,TIME,around 7:30 PM,Around half past seven.,,4201
URL-005,URL,our site is mybiz.io,Our site is mibes.io.,,2459
URL-002,URL,visit www.example.org,Visit www.example.org.,,4392
URL-007,URL,visit news.ycombinator.com,Visit news.ycombinator.com.,,2544
URL-008,URL,the docs are at docs.stripe.com,The docs are at docs.stripe.com.,,2559
URL-003,URL,check google.com,Checkgoogle.com.,,4201
URL-009,URL,see help.company.net,C-help.company.net.,,2464
URL-010,URL,login at portal.bank.com,Login@portal.bank.com.,,2524
URL-S-001,URL,go to acme.com/signup,Go to acme.com/signup.,,2448
URL-S-003,URL,the link is shop.biz/deals/2026,The link is shop.biz/deals/2026.,,4289
