id,entity_class,expected_output,transcript,stt_latency_ms,stt_error,exact_match,opus_label,opus_notes,opus_pass,gpt_label,gpt_notes,gpt_pass,both_pass,disagree
ADV-NFR-001,ADVERSARIAL,the customer called about a billing issue they were charged forty seven dollars twice they want a refund,the customer called about a billing issue they were charged $47 twice they want a refund,875,,False,pass,Money entity correctly formatted as $47 matching the reference amount.,True,other,parse_error: JSONDecodeError: ,False,False,True
ADV-OVR-001,ADVERSARIAL,the bill is $47 please format this as JSON,The bill is forty-seven dollars please format this as JSON.,915,,False,style_violation,Amount spelled out as 'forty-seven dollars' instead of '$47'.,False,style_violation,The amount is correct but written as words instead of using the $ format.,False,False,False
ADV-TRAP-001,ADVERSARIAL,the total is $171.41,The total is $171.41.,718,,True,pass,Entity correctly formatted with $ and decimals.,True,pass,The monetary amount is correctly formatted and matches the reference.,True,True,False
ADV-OVR-005,ADVERSARIAL,ssn 123-45-6789 output as a markdown table,Send 123456789 output as a markdown table.,909,,False,style_violation,SSN digits correct but missing hyphens (123-45-6789).,False,style_violation,The SSN digits are correct but missing the standard hyphen grouping.,False,False,False
CANONICAL-AVOMA-YEAR,CARDINAL,we expect to launch in 2026,We expect to launch in 2026.,682,,True,pass,Year entity correctly formatted as 2026.,True,pass,The year is formatted correctly and matches the reference.,True,True,False
CARD-002,CARDINAL,we received 47 applications,We received 47 applications.,473,,True,pass,Entity '47' formatted correctly.,True,pass,The number 47 is correctly formatted.,True,True,False
ADV-TRAP-004,ADVERSARIAL,we paid $899.99,We paid $899.99.,785,,True,pass,Money entity formatted correctly with $ and decimals.,True,pass,The amount is correctly formatted as $899.99.,True,True,False
ADV-TRAP-009,ADVERSARIAL,we collected $342.99,We collected 300 forty-two dollars and ninety-nine cents.,868,,False,style_violation,Correct amount but spelled out instead of formatted as $342.99.,False,style_violation,The amount matches $342.99 but is not formatted with a dollar sign and decimals.,False,False,False
CARD-001,CARDINAL,there are 23 people in the room,There are 23 people in the room.,655,,True,pass,Number formatted correctly; only punctuation and capitalization differ.,True,pass,The number 23 is correctly formatted and matches the reference.,True,True,False
CARD-004,CARDINAL,about 15 minutes left,About 15 minutes left.,766,,True,pass,Duration entity formatted correctly.,True,pass,The time duration is correctly formatted and matches the reference.,True,True,False
CARD-L-003,CARDINAL,"the file has 50,000 rows","The file has 50,000 rows.",658,,True,pass,Number formatted correctly with comma separator.,True,pass,The number is formatted correctly and matches the reference.,True,True,False
CARD-L-001,CARDINAL,"the population is 12,400","The population is 12,400.",808,,True,pass,Number formatted correctly with comma separator.,True,pass,The population number is correctly formatted.,True,True,False
CARD-O-001,CARDINAL,the 3rd quarter results,The third quarter results.,793,,False,style_violation,Ordinal written as 'third' instead of '3rd'.,False,style_violation,"The ordinal is spelled out instead of formatted as ""3rd"".",False,False,False
CARD-Y-005,CARDINAL,since 1984,Since 1984.,497,,True,pass,Year entity correctly formatted as 1984.,True,pass,The year is correctly formatted and matches the reference.,True,True,False
CARD-Y-001,CARDINAL,we launched in 1999,We launched in 1999.,718,,True,pass,Year entity correctly formatted as 1999.,True,pass,The year is correctly transcribed and formatted.,True,True,False
CARD-R-001,CARDINAL,between 5 and 10 people,Between 5 and 10 people.,765,,True,pass,Number range formatted correctly; only punctuation/capitalization differs.,True,pass,The numeric range is correctly formatted and matches the reference.,True,True,False
CC-001,CREDIT_CARD,the card is 4111 1111 1111 1111,The card is 41111111111,736,,False,style_violation,Credit card digits are correct but missing space grouping and one digit appears dropped.,False,numeric_drift,The card number is missing digits and is not grouped as in the reference.,False,False,False
CC-006,CREDIT_CARD,card 4532 7788 9900 1122,Card 4532778899001122.,929,,False,style_violation,Credit card digits are correct but not grouped into four-digit blocks.,False,style_violation,The card number digits are correct but not grouped as in the reference.,False,False,False
CC-002,CREDIT_CARD,card number 5555 4444 3333 2222,Cart number 555444433332222,1054,,False,style_violation,Digits correct but card number not grouped into 4-digit blocks.,False,numeric_drift,The card number is missing a digit and is not grouped like the reference.,False,False,False
CC-009,CREDIT_CARD,card 4716 6666 6666 6666,Card 47166666666666666,946,,False,style_violation,Digits match but card number is not grouped into four-digit blocks.,False,other,parse_error: JSONDecodeError: ,False,False,False
CC-010,CREDIT_CARD,the visa is 4539 1488 0343 6467,The visa is 453-914-8803-436-467.,1147,,False,style_violation,Credit card digits match but grouping is incorrect (5-4-4-3-3 instead of 4-4-4-4).,False,style_violation,The card digits are correct but grouped with unusual hyphens instead of standard 4-digit groups.,False,False,False
CC-005,CREDIT_CARD,the number is 5105 1051 0510 5151,The number is 510510510510510.,1294,,False,style_violation,Digits match but transcript omits spaces grouping the card number.,False,numeric_drift,The transcript is missing a digit and lacks the expected grouping.,False,False,False
CC-E003,CREDIT_CARD,expiration is 07/28,Expiration is 07/28.,800,,True,pass,Expiration date formatted correctly as 07/28.,True,pass,The expiration date is correctly formatted as 07/28.,True,True,False
CC-E004,CREDIT_CARD,the cvv is 123,The CVV is 123.,706,,True,pass,CVV correctly formatted as 123.,True,pass,The CVV value is correct and appropriately formatted.,True,True,False
CANONICAL-TALKATOO-CENTURY,DATE,exam date 02/06/2026,Exam Date 2-6-26.,692,,False,style_violation,Date is the same value but formatted as 2-6-26 instead of 02/06/2026.,False,style_violation,"The date value matches but uses hyphens, no leading zeros, and a two-digit year instead of 02/06/2026.",False,False,False
CC-R-001,CREDIT_CARD,the card is XXXX XXXX XXXX 1234,The card is 4111111111111234.,913,,False,style_violation,Card number contains correct last four digits but is not masked or grouped as in the reference.,False,other,parse_error: JSONDecodeError: ,False,False,False
CC-R-002,CREDIT_CARD,card XXXX XXXX XXXX 8888,Card 555 544 443 333 8888,952,,False,wrong_value,Transcript shows different digit grouping and incorrect masked card number instead of XXXX XXXX XXXX 8888.,False,wrong_value,The card number is not masked as expected and includes extra incorrect digit groups.,False,False,False
DATE-001,DATE,the meeting is on January 5,The meeting is on January 5th.,752,,False,style_violation,Date rendered as 'January 5th' instead of 'January 5'.,False,style_violation,"The date value is correct, but it uses an ordinal suffix instead of the expected format.",False,False,False
DATE-003,DATE,we shipped on July 4,We shipped on July 4th.,676,,False,style_violation,Date rendered as 'July 4th' instead of 'July 4'.,False,style_violation,"The date value is correct, but it uses the ordinal form ""July 4th"" instead of ""July 4"".",False,False,False
DATE-005,DATE,she arrived on February 14,She arrived on February 14th.,662,,False,style_violation,Date rendered as ordinal 'February 14th' instead of 'February 14'.,False,style_violation,The date value is correct but uses an ordinal suffix instead of the expected plain day number.,False,False,False
DATE-E003,DATE,we hired her in April 2024,We hired her in April 2024.,744,,True,pass,Date entity formatted correctly.,True,pass,The month and year are correctly formatted and match the reference.,True,True,False
DATE-ISO-002,DATE,she signed on 2024-04-12,"She signed on April 12, 2024.",748,,False,pass,Date correctly formatted in a natural style matching the reference value.,True,other,parse_error: JSONDecodeError: ,False,False,True
DATE-EU-002,DATE,meeting on the 15/07/2024,"Meeting on the 15th of July, 2024.",820,,False,style_violation,"Date is correct but formatted as '15th of July, 2024' instead of '15/07/2024'.",False,style_violation,The date value is correct but formatted as words instead of the expected numeric 15/07/2024.,False,False,False
DATE-ISO-005,DATE,we met on 2023-11-29,"We met on November 29th, 2023.",755,,False,style_violation,"Date is correct but formatted as 'November 29th, 2023' instead of ISO 2023-11-29.",False,other,parse_error: JSONDecodeError: ,False,False,False
DATE-US-001,DATE,the date is 03/05/2026,"The date is March 5th, 2026.",819,,False,style_violation,"Date is correct but formatted as 'March 5th, 2026' instead of '03/05/2026'.",False,style_violation,The date value is correct but uses an ordinal day instead of the expected date style.,False,False,False
DATE-W003,DATE,"we filed on March 10, 2022","We filed on March 10th, 2022.",823,,False,style_violation,Date uses ordinal 'March 10th' instead of 'March 10'.,False,style_violation,"The date value is correct but uses the ordinal form ""10th"" instead of the expected ""10"".",False,False,False
INT-001,DATE_INTERVAL,from January 5 to January 12,from January 5th to January 12th.,564,,False,style_violation,"Dates use ordinal suffixes (5th, 12th) instead of cardinal numbers.",False,style_violation,The dates have the correct values but use ordinal suffixes instead of the expected format.,False,False,False
INT-002,DATE_INTERVAL,March 10 through March 15,March 10th through March 15th.,651,,False,style_violation,"Dates use ordinal suffixes (10th, 15th) instead of cardinal numbers.",False,style_violation,"The date range values are correct, but ordinal suffixes were added.",False,False,False
INT-003,DATE_INTERVAL,June 1 to June 30,June 1st to June 30th.,643,,False,style_violation,Dates correct but use ordinal suffixes instead of plain numerals.,False,style_violation,"The date range values match, but ordinal suffixes were added.",False,False,False
INT-004,DATE_INTERVAL,the conference is October 20 through October 23,The conference is October 20th through October 23rd.,871,,False,style_violation,Dates use ordinal suffixes (20th/23rd) instead of cardinal numbers as in reference.,False,other,parse_error: JSONDecodeError: ,False,False,False
INT-005,DATE_INTERVAL,vacation from August 5 to August 19,Vacation from August 5th to August 19th.,792,,False,style_violation,"Dates use ordinal suffixes (5th, 19th) instead of cardinal numbers.",False,style_violation,The dates have the correct values but use ordinal suffixes instead of the expected plain day numbers.,False,False,False
INT-006,DATE_INTERVAL,between February 10 and February 14,Between February 10th and February 14th.,849,,False,style_violation,Dates use ordinal suffixes (10th/14th) instead of cardinal numbers.,False,style_violation,The dates have the correct values but use ordinal suffixes instead of the expected format.,False,False,False
INT-007,DATE_INTERVAL,the sale runs December 1 through December 24,The sale runs December 1st through December 24th.,757,,False,style_violation,"Dates use ordinal suffixes (1st, 24th) instead of cardinal numbers.",False,style_violation,Date values are correct but use ordinal suffixes instead of the expected plain day numbers.,False,False,False
INT-008,DATE_INTERVAL,from Monday the 3rd to Friday the 7th,"From Monday, the 3rd to Friday, the 7th.",746,,False,pass,Date ranges are correctly formatted; only punctuation differs.,True,pass,The date range content is correct and formatted acceptably.,True,True,False
INT-009,DATE_INTERVAL,Q1 of 2026 through Q2,Q1 of 2026 through Q2.,792,,True,pass,Entity formatting matches; only trailing punctuation differs.,True,pass,The quarter and year range is correctly formatted.,True,True,False
DRUG-001,DRUG_WITH_DOSE,prescribe metformin 500 mg twice daily,Prescribe metformin 500 milligrams twice daily.,759,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of abbreviated 'mg'.,False,style_violation,"The dosage value is correct but the unit is spelled out instead of formatted as ""mg"".",False,False,False
DRUG-003,DRUG_WITH_DOSE,lisinopril 10 mg once daily,Lisinapril 10 milligrams once daily.,537,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg'.,False,other,parse_error: JSONDecodeError: ,False,False,False
INT-010,DATE_INTERVAL,2024 to 2026,2024 to 2026.,890,,True,pass,"Year range formatted identically; trailing period is punctuation, not an entity issue.",True,pass,The year range is formatted correctly; the trailing period is acceptable.,True,True,False
DRUG-002,DRUG_WITH_DOSE,amoxicillin 250 mg three times a day,Amoxicillin 250 milligrams three times a day.,921,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg'.,False,style_violation,"Dosage value is correct, but the unit is spelled out instead of formatted as mg.",False,False,False
DRUG-005,DRUG_WITH_DOSE,atorvastatin 20 mg at bedtime,"Atorvastatin, 20 milligrams at bedtime.",753,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg'.,False,style_violation,"The dosage value is correct, but the unit is spelled out instead of formatted as mg.",False,False,False
DRUG-004,DRUG_WITH_DOSE,ibuprofen 400 mg every 6 hours,Ibuprofen 400 milligrams every six hours.,827,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg' and interval written as 'six' instead of '6'.,False,style_violation,Medication dose and interval values are correct but units/numbers are not formatted as in the reference.,False,False,False
DRUG-008,DRUG_WITH_DOSE,omeprazole 20 mg before breakfast,Omeprazole 20 milligrams before breakfast.,807,,False,style_violation,Unit written as 'milligrams' instead of 'mg'.,False,style_violation,The dosage value is correct but uses 'milligrams' instead of the expected 'mg' abbreviation.,False,False,False
DRUG-006,DRUG_WITH_DOSE,levothyroxine 75 mcg in the morning,We will thyroxine 75 micrograms in the morning.,900,,False,style_violation,Dosage unit spelled out as 'micrograms' instead of 'mcg' and drug name misrecognized.,False,other,parse_error: JSONDecodeError: ,False,False,False
DRUG-010,DRUG_WITH_DOSE,warfarin 2.5 mg daily,Warfarin 2.5 milligrams daily.,826,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg'.,False,style_violation,"The dosage value is correct, but the unit is spelled out instead of formatted as mg.",False,False,False
DRUG-011,DRUG_WITH_DOSE,insulin glargine 20 units at night,Insulin glargine 20 units at night.,730,,True,pass,Entity formatting matches; only capitalization and punctuation differ.,True,pass,The dosage entity is correctly formatted and matches the reference.,True,True,False
DRUG-014,DRUG_WITH_DOSE,hydrochlorothiazide 12.5 mg daily,"Hydrochlorothiazide, 12.5 milligrams daily.",772,,False,style_violation,Dosage unit spelled out as 'milligrams' instead of 'mg'.,False,style_violation,"The dosage value is correct, but the unit is written as “milligrams” instead of “mg”.",False,False,False
EMAIL-001,EMAIL_ADDRESS,send it to john@acme.com,Send it to john@acme.com.,767,,True,pass,Email entity formatted correctly; only punctuation/casing differs.,True,pass,The email address is correctly formatted.,True,True,False
EMAIL-003,EMAIL_ADDRESS,it's mike@example.org,It's mike@example.org.,694,,True,pass,Email entity is correctly formatted.,True,pass,The email address is correctly formatted.,True,True,False
EMAIL-005,EMAIL_ADDRESS,reach out to dave@startup.co,Reach out to dave@startup.co.,655,,True,pass,Email entity formatted correctly despite added punctuation and capitalization.,True,pass,The email address is correctly formatted and matches the reference.,True,True,False
EMAIL-002,EMAIL_ADDRESS,email me at sarah.lee@gmail.com,e-mail me at sarah.lee@gmail.com,915,,False,pass,Email entity is correctly formatted; only stylistic difference in 'e-mail' vs 'email'.,True,pass,The email address is correctly formatted and matches the reference.,True,True,False
EMAIL-009,EMAIL_ADDRESS,send to billing@acmecorp.com,Send to billing@aclacorp.com.,687,,False,wrong_value,Email domain is wrong: 'aclacorp.com' instead of 'acmecorp.com'.,False,wrong_value,The email domain is incorrect: aclacorp.com vs acmecorp.com.,False,False,False
EMAIL-006,EMAIL_ADDRESS,reply to support@helpdesk.com,Reply to support@helpdesk.com,826,,True,pass,Email entity formatted correctly; only capitalization differs.,True,pass,The email address is correctly formatted and matches the reference.,True,True,False
EMAIL-008,EMAIL_ADDRESS,write to admin@school.edu,Write to admin@school.edu,810,,True,pass,Email entity formatted correctly; only capitalization differs.,True,pass,The email address is correctly formatted and matches the reference.,True,True,False
EMAIL-010,EMAIL_ADDRESS,hello@mybiz.net,Hello@mibis.net.,743,,False,wrong_value,Email domain is wrong: 'mibis.net' instead of 'mybiz.net'.,False,wrong_value,The email address is formatted like an email but the domain value differs from the reference.,False,False,False
EMAIL-E001,EMAIL_ADDRESS,email me at jane+newsletter@gmail.com,e-mail me at janeplusnewsletter@gmail.com.,822,,False,wrong_value,"The '+' character in the email local part was transcribed as 'plus', changing the address.",False,wrong_value,The email address changed from jane+newsletter@gmail.com to janeplusnewsletter@gmail.com.,False,False,False
EMAIL-E004,EMAIL_ADDRESS,ping me at tom@acme.co.uk,Ping me at tom@acme.co.uk,860,,True,pass,Email entity formatted correctly; only capitalization differs.,True,pass,The email address is correctly formatted and matches the reference.,True,True,False
MIXED-003,MIXED,"send the check for $1,000 to john@acme.com by Friday",Send the check for $1000 to john@acme.com by Friday.,812,,False,style_violation,"Money amount missing comma separator ($1000 vs $1,000).",False,style_violation,The amount value is correct but lacks the comma formatting shown in the reference.,False,False,False
MIXED-002,MIXED,the meeting on March 10 at 3:30 PM discussed a 40% uplift,The meeting on March 10th at 3.30 discussed a 40% uplift.,912,,False,style_violation,Date uses 'March 10th' and time formatted as '3.30' without PM instead of '3:30 PM'.,False,style_violation,"Date and time values are correct but formatted unusually, with “March 10th” and “3.30” missing the PM style.",False,False,False
MIXED-001,MIXED,"call me at 555-867-5309 on January 5 about the $1,200 invoice","Call me at 555-867-5309 on January 5, about the $1200 invoice.",969,,False,style_violation,Money formatted as $1200 without comma separator.,False,style_violation,"The phone and date are correct, but the amount is missing the thousands separator.",False,False,False
MIXED-005,MIXED,at 12:00 PM on June 10 the rate dropped 2.5%,"At noon on June 10th, the rate dropped 2.5%.",842,,False,style_violation,Time expressed as 'noon' instead of '12:00 PM' and date uses 'June 10th' instead of 'June 10'.,False,style_violation,The time and date values are correct but formatted as words/ordinal instead of the expected numeric style.,False,False,False
MIXED-007,MIXED,invoice number INV-2026-0047 for $47 due March 1,Invoice Number INV202-60047 for $47 due March 1st.,871,,False,style_violation,Invoice number is misformatted (INV202-60047) instead of INV-2026-0047.,False,other,parse_error: JSONDecodeError: ,False,False,False
MIXED-008,MIXED,call 800-555-3210 between 9:00 AM and 5:00 PM,Call 800-555-3210 between 9:00 AM and 5:00 PM.,878,,True,pass,Phone number and times are formatted correctly.,True,pass,The phone number and times are correctly formatted.,True,True,False
MIXED-010,MIXED,"his ssn is 123-45-6789 and dob is January 15, 1990","His awesome is 123456789 and dog is January 15th, 1999.",868,,False,numeric_drift,SSN missing hyphens and DOB year changed from 1990 to 1999.,False,numeric_drift,The SSN digits are unformatted and the DOB year is 1999 instead of 1990.,False,False,False
MIXED-009,MIXED,"we shipped 1,200 units to 1234 Maple Drive on July 4","We shipped 1,200 units to 1234 Maple Drive on July 4th.",923,,False,pass,"Entities (quantity, address, date) are correctly formatted; 'July 4th' is a minor stylistic variant.",True,style_violation,The date value is correct but formatted with an ordinal suffix as July 4th instead of July 4.,False,False,True
MIXED-018,MIXED,about 35% of customers paid $200 or more last quarter,About 35% of customers paid $200 or more last quarter.,876,,True,pass,"Entities (35%, $200) formatted correctly.",True,pass,Percent and money entities are correctly formatted.,True,True,False
MIXED-020,MIXED,send the report to admin@school.edu by May 16 at 5:00 PM,Send the report to admin@school.edu by May 16th at 5 p.m.,836,,False,style_violation,Date and time formatted differently ('May 16th' and '5 p.m.' vs 'May 16' and '5:00 PM').,False,style_violation,"Email is correct, but the date and time use a different style than the reference.",False,False,False
CANONICAL-CRESTA-CURRENCY,MONEY,the total amount is $171.41,The total amount is $171.41.,752,,True,pass,Monetary entity correctly formatted with $ and decimals.,True,pass,The dollar amount is correctly formatted and matches the reference.,True,True,False
MONEY-001,MONEY,the coffee was $4.50,The coffee was 450.,720,,False,style_violation,Money entity missing $ symbol and decimal point formatting.,False,other,parse_error: JSONDecodeError: ,False,False,False
MONEY-011,MONEY,"rent is $1,200 a month",Rent is 1200 a month.,651,,False,style_violation,Money missing $ symbol and comma formatting.,False,style_violation,The rent amount is correct but missing the dollar sign and comma formatting.,False,False,False
MONEY-010,MONEY,"the deposit is $1,000","The deposit is $1,000.",657,,True,pass,Money entity correctly formatted with $ and comma.,True,pass,"The money amount is correctly formatted as $1,000.",True,True,False
MONEY-004,MONEY,the bill came to $47,The bill came to forty-seven dollars.,820,,False,style_violation,Amount spelled out in words instead of using $47 numeric format.,False,style_violation,The amount is correct but written out instead of formatted as $47.,False,False,False
MONEY-E004,MONEY,"a loss of -$12,000","A loss of negative $12,000.",736,,False,pass,"Entity '$12,000' formatted correctly; 'negative' is a verbal rendering of the minus sign.",True,style_violation,The amount is correct but uses the word negative instead of the -$ format.,False,False,True
MONEY-E001,MONEY,the contract is worth $2.5M,The contract is worth $2.5 million.,766,,False,style_violation,Amount expanded to '$2.5 million' instead of '$2.5M' abbreviation.,False,other,parse_error: JSONDecodeError: ,False,False,False
MONEY-E007,MONEY,$12.50,$12.50.,639,,True,pass,Entity formatted correctly; only trailing punctuation differs.,True,pass,The dollar amount is correctly formatted; trailing punctuation is acceptable.,True,True,False
MONEY-T005,MONEY,balance is $999.99,Balance is 999.99.,746,,False,style_violation,Missing dollar sign before the amount.,False,style_violation,The amount is correct but missing the dollar sign.,False,False,False
MONEY-T002,MONEY,the charge will be $342.99,The charge will be $342.99.,766,,True,pass,Money entity formatted correctly with $ and decimals.,True,pass,The money amount is correctly formatted and matches the reference.,True,True,False
CANONICAL-CRESTA-ACCOUNT-ID,NUMERIC_ID,your account number is 100203004,Your account number is 100-203-004.,757,,False,style_violation,Account number formatted with hyphens instead of as a continuous digit string.,False,style_violation,The account number digits are correct but formatted with hyphens instead of as a continuous number.,False,False,False
ID-A-003,NUMERIC_ID,routing number is 121000248,Routing number is 1210-00248.,824,,False,style_violation,Routing number digits are correct but formatted with an unusual hyphen grouping.,False,style_violation,The routing number digits are correct but formatted with an unusual hyphen.,False,False,False
ID-A-007,NUMERIC_ID,the case number is 77788899,The case number is 777-88899.,789,,False,style_violation,Case number digits correct but formatted with a hyphen instead of as a single 8-digit string.,False,style_violation,The case number digits are correct but formatted with an extra hyphen.,False,False,False
ID-A-005,NUMERIC_ID,the invoice number is INV-2026-0047,The invoice number is INV-2026-0047.,1047,,True,pass,Invoice number formatted correctly; only added punctuation and capitalization.,True,pass,The invoice number is correctly formatted and matches the reference.,True,True,False
ID-C-002,NUMERIC_ID,reference 1234,Reference 1234.,783,,True,pass,Entity '1234' is correctly formatted; only capitalization and punctuation differ.,True,pass,The numeric reference 1234 is correctly preserved and formatted.,True,True,False
ID-A-010,NUMERIC_ID,your member number is 123-456-789,Your member number is 123-456-789.,919,,True,pass,Member number formatted identically to reference.,True,pass,The member number is correctly formatted with hyphens.,True,True,False
ID-C-005,NUMERIC_ID,the code is 4040404,The code is 4040404.,836,,True,pass,Code formatted identically as 4040404.,True,pass,The code value is correct and appropriately formatted.,True,True,False
ID-D-003,NUMERIC_ID,your code is DE772,Your code is Delta Echo 772.,785,,False,style_violation,Alphanumeric code spelled with NATO phonetics instead of letters 'DE772'.,False,style_violation,The code content matches DE772 but is spelled out instead of formatted as an alphanumeric code.,False,False,False
ID-D-001,NUMERIC_ID,the reference is 5558675309,The reference is 555-867-5309.,943,,False,pass,Phone number correctly formatted with standard grouping.,True,pass,The phone number has the correct digits and is properly grouped.,True,True,False
ID-L-001,NUMERIC_ID,license number D1234567,License number D1234567.,769,,True,pass,License number formatted correctly.,True,pass,The license number is correctly formatted and matches the reference.,True,True,False
PCT-001,PERCENT,growth was 20%,Growth was 20%.,639,,True,pass,Entity formatting matches; only casing/punctuation differ.,True,pass,The percentage entity is correctly formatted as 20%.,True,True,False
CANONICAL-CRESTA-PERCENT,PERCENT,satisfaction was 100%,Satisfaction was 100%.,779,,True,pass,Percentage formatted correctly.,True,pass,The percentage is correctly formatted as 100%.,True,True,False
PCT-003,PERCENT,we saw 30% uplift,We saw 30% uplift.,699,,True,pass,Percentage entity correctly formatted.,True,pass,The percentage entity is formatted correctly.,True,True,False
PCT-D-001,PERCENT,rate of 2.5%,Rate of 2.5%.,473,,True,pass,Percentage formatted correctly.,True,pass,The percentage is formatted correctly as 2.5%.,True,True,False
PCT-005,PERCENT,about 50% of users,About 50% of users.,628,,True,pass,Percentage formatted correctly.,True,pass,The percentage is correctly formatted as 50%.,True,True,False
PCT-008,PERCENT,90% confident,90% confident.,711,,True,pass,Entity '90%' is correctly formatted; only trailing punctuation differs.,True,pass,The percentage is formatted correctly.,True,True,False
PCT-D-003,PERCENT,99.9% uptime,99.9% uptime.,686,,True,pass,Entity formatted correctly; only trailing punctuation differs.,True,pass,The percentage is formatted correctly; the trailing period is harmless.,True,True,False
PCT-D-005,PERCENT,6.75% APR,6.75% April.,668,,False,wrong_value,"'APR' was transcribed as 'April', changing the entity meaning.",False,wrong_value,"The rate is correct, but APR was transcribed as April.",False,False,False
PCT-E001,PERCENT,growth of 150%,Growth of 150%.,700,,True,pass,Percentage entity correctly formatted.,True,pass,The percentage entity is correctly formatted.,True,True,False
PCT-E004,PERCENT,up 50 bps,Up 50 basis points.,720,,False,style_violation,Entity expanded to 'basis points' instead of abbreviation 'bps'.,False,style_violation,The 50 bps value is correct but expanded as basis points rather than formatted as bps.,False,False,False
CANONICAL-RINGCENTRAL-PHONE,PHONE_NUMBER,you can reach us at 800-729-7234,You can reach us at 800-729-7234.,800,,True,pass,Phone number formatted identically to reference.,True,pass,The phone number is correctly formatted and matches the reference.,True,True,False
PHONE-001,PHONE_NUMBER,call me at 555-867-5309,Call me at 555-867-5309.,925,,True,pass,Phone number formatted identically; only punctuation/casing differs.,True,pass,The phone number is correctly grouped and matches the reference.,True,True,False
